HypoID,Survival,Site,Vector,Volume,Select,Matches,Inactive,Adjusted,BEDROC,RefLig
AADHRRR_1,7.0440,0.8140,0.8935,0.6752,3.2464,26,0.0000,7.0440,0.9665,mol_1
ADDHRRR_1,7.0333,0.7038,0.8149,0.7067,3.4462,23,0.0000,7.0333,0.7889,mol_5
ADHRRR_1,6.5850,0.8351,0.8915,0.6869,2.7736,25,0.0000,6.5850,0.9665,mol_8
ADHRRR_2,6.4945,0.8375,0.8834,0.7338,2.6780,23,0.0000,6.4945,0.8829,mol_5
ADHRRR_3,6.4304,0.9079,0.9141,0.6945,2.4825,27,0.0000,6.4304,0.9951,mol_1
ADHRRR_4,6.3697,0.6726,0.8234,0.7186,2.7749,24,0.0000,6.3697,0.9130,mol_5
AAHRRR_1,6.3479,0.8160,0.8652,0.6714,2.5803,26,0.0000,6.3479,0.9704,mol_1
ADHRRR_5,6.3347,0.6307,0.7709,0.7139,2.7877,27,0.0000,6.3347,0.9983,mol_5
DDHRRR_1,6.3289,0.6856,0.7820,0.7030,2.7966,23,0.0000,6.3289,0.8793,mol_5
AADHRR_1,6.3204,0.8166,0.9293,0.6606,2.4825,27,0.0000,6.3204,0.9919,mol_1
AADHRR_2,6.3091,0.8186,0.8960,0.6705,2.5089,26,0.0000,6.3091,0.9608,mol_1
ADDHRR_1,6.2403,0.6871,0.8217,0.7043,2.6654,23,0.0000,6.2403,0.8829,mol_5
DHRRR_1,6.0617,0.9139,0.9137,0.7000,2.1027,27,0.0000,6.0617,0.9860,mol_1
ADHRR_1,5.9690,0.8335,0.9317,0.6728,2.1161,26,0.0000,5.9690,0.9908,mol_8
ADHRR_2,5.9347,0.8190,0.9008,0.6767,2.1231,26,0.0000,5.9347,0.9634,mol_1
DHRRR_2,5.9329,0.8316,0.8549,0.7313,2.1534,23,0.0000,5.9329,0.8811,mol_5
AHRRR_1,5.9076,0.8033,0.9085,0.7416,2.0740,24,0.0000,5.9076,0.9130,mol_5
AHRRR_2,5.8905,0.7614,0.8516,0.7361,2.1101,27,0.0000,5.8905,1.0000,mol_5
AHRRR_3,5.8797,0.9315,0.8838,0.6916,1.9414,27,0.0000,5.8797,1.0000,mol_1
AHRRR_4,5.8683,0.9121,0.9581,0.7459,1.8720,24,0.0000,5.8683,0.9130,mol_5
ADHRR_3,5.8480,0.9487,0.9669,0.6981,1.8029,27,0.0000,5.8480,0.9573,mol_1
ADHRR_4,5.8476,0.8300,0.9059,0.7315,2.0185,23,0.0000,5.8476,0.8829,mol_5
DHRR_1,5.5971,0.9528,0.9797,0.7034,1.5298,27,0.0000,5.5971,0.9323,mol_8
DHRR_2,5.5228,0.9269,0.9158,0.6910,1.5577,27,0.0000,5.5228,0.9828,mol_1
AHRR_1,5.4688,0.9816,0.9521,0.6974,1.4063,27,0.0000,5.4688,0.9468,mol_1
DHRR_3,5.4465,0.9511,0.9384,0.7427,1.4525,23,0.0000,5.4465,0.8829,mol_5
ADHR_1,5.4448,0.8688,0.9265,0.6416,1.5766,27,0.0000,5.4448,0.9770,mol_1
HRRR_1,5.4218,0.9392,0.8136,0.6832,1.5545,27,0.0000,5.4218,0.9972,mol_11
DRRR_1,5.4156,0.9174,0.9198,0.6993,1.4478,27,0.0000,5.4156,0.7594,mol_1
AHRR_2,5.4150,0.9200,0.9979,0.7440,1.3729,24,0.0000,5.4150,0.9119,mol_5
DHRR_4,5.4082,0.9281,0.9040,0.6964,1.4484,27,0.0000,5.4082,0.9961,mol_8
HRRR_2,5.4051,0.9582,0.9407,0.7486,1.3775,24,0.0000,5.4051,0.9130,mol_5
DHR_1,5.1998,0.9959,0.9972,0.6799,1.0955,27,0.0000,5.1998,0.9193,mol_1
HRR_1,5.1711,0.9909,0.9339,0.6886,1.1265,27,0.0000,5.1711,0.9184,mol_8
DHR_2,5.1503,0.9814,0.9769,0.7045,1.0561,27,0.0000,5.1503,0.9602,mol_8
DHR_3,5.1095,0.9661,0.9988,0.7431,1.0397,23,0.0000,5.1095,0.8829,mol_5
DRR_1,5.0968,0.9797,0.9717,0.7019,1.0121,27,0.0000,5.0968,0.3105,mol_11
AHR_1,5.0962,0.9982,0.9974,0.6664,1.0029,27,0.0000,5.0962,0.8381,mol_1
AHR_2,5.0868,0.8816,0.9870,0.7305,1.0563,27,0.0000,5.0868,0.9536,mol_5
HRR_2,5.0807,0.9735,0.9978,0.7483,0.9808,24,0.0000,5.0807,0.9130,mol_5
AHR_3,5.0628,0.9342,0.8789,0.6483,1.1700,27,0.0000,5.0628,0.9606,mol_5
HRR_3,5.0534,0.9746,0.8355,0.6811,1.1309,27,0.0000,5.0534,0.9644,mol_11
