HypoID,Survival,Site,Vector,Volume,Select,Matches,Inactive,Adjusted,BEDROC,RefLig
ADRR_1,5.6614,0.9740,0.9966,0.7236,1.1678,63,0.0000,5.6614,0.9952,mol_37
AADR_1,5.5683,0.9710,0.9995,0.7234,1.0750,63,0.0000,5.5683,0.9979,mol_37
AADR_2,5.4553,0.9811,0.9876,0.7140,0.9664,64,0.0000,5.4553,0.9984,mol_37
AAAD_1,5.3323,0.9763,0.9884,0.7131,0.8483,64,0.0000,5.3323,0.9991,mol_37
DRR_1,5.4597,0.9724,0.9857,0.6912,1.0042,64,0.0000,5.4597,0.9635,mol_42
DRR_2,5.4551,0.9865,0.9743,0.6945,0.9868,65,0.0000,5.4551,0.9850,mol_36
ADR_1,5.4141,0.9713,0.9866,0.6909,0.9592,64,0.0000,5.4141,0.9859,mol_42
ARR_1,5.4071,0.9695,0.9900,0.7029,0.9121,68,0.0000,5.4071,1.0000,mol_37
ADR_2,5.3960,0.9852,0.9784,0.6944,0.9250,65,0.0000,5.3960,0.9941,mol_36
AAR_1,5.3724,0.9815,0.9879,0.7022,0.8684,68,0.0000,5.3724,1.0000,mol_37
ADR_3,5.3492,0.9894,0.9914,0.7132,0.8489,64,0.0000,5.3492,0.9920,mol_37
ADR_4,5.3246,0.9920,0.9958,0.7057,0.8183,65,0.0000,5.3246,0.9922,mol_37
AAR_2,5.2973,0.9660,0.9610,0.6963,0.8351,69,0.0000,5.2973,0.9995,mol_37
ADR_5,5.2837,0.9843,0.9596,0.6845,0.8423,65,0.0000,5.2837,0.9812,mol_37
