HypoID,Survival,Site,Vector,Volume,Select,Matches,Inactive,Adjusted,BEDROC,RefLig
ADRRR_1,5.6848,0.9408,0.9943,0.8434,1.6511,18,0.0000,5.6848,1.0000,mol_17
ADRRR_2,5.6743,0.9392,0.9949,0.8443,1.6407,18,0.0000,5.6743,1.0000,mol_17
AADRR_1,5.5311,0.9352,0.9959,0.8440,1.5007,18,0.0000,5.5311,1.0000,mol_17
AADRR_2,5.4983,0.9349,0.9965,0.8449,1.4668,18,0.0000,5.4983,1.0000,mol_17
AADRR_3,5.4347,0.9457,0.9949,0.8417,1.3971,18,0.0000,5.4347,0.9854,mol_17
AADRR_4,5.4230,0.9397,0.9944,0.8421,1.3916,18,0.0000,5.4230,0.9606,mol_17
AAADR_1,5.2727,0.9362,0.9965,0.8422,1.2425,18,0.0000,5.2727,0.9928,mol_17
AAADR_2,5.2630,0.9450,0.9967,0.8414,1.2245,18,0.0000,5.2630,0.9991,mol_17
ADRRR_3,4.9802,0.5522,0.9141,0.6072,1.6515,18,0.0000,4.9802,1.0000,mol_8
ADRRR_4,4.9709,0.5391,0.9243,0.6112,1.6410,18,0.0000,4.9709,1.0000,mol_8
DRRR_1,5.4218,0.9523,0.9926,0.8408,1.3808,18,0.0000,5.4218,1.0000,mol_17
DRRR_2,5.4152,0.9547,0.9934,0.8414,1.3705,18,0.0000,5.4152,1.0000,mol_17
ARRR_1,5.3185,0.9521,0.9944,0.8440,1.2727,18,0.0000,5.3185,1.0000,mol_17
ADRR_1,5.3093,0.9524,0.9931,0.8401,1.2684,18,0.0000,5.3093,1.0000,mol_17
ADRR_2,5.2807,0.9557,0.9941,0.8410,1.2346,18,0.0000,5.2807,1.0000,mol_17
ADRR_3,5.2419,0.9581,0.9946,0.8378,1.1962,18,0.0000,5.2419,0.9925,mol_17
AARR_1,5.2395,0.9475,0.9951,0.8449,1.1968,18,0.0000,5.2395,1.0000,mol_17
ADRR_4,5.2365,0.9738,0.9932,0.8345,1.1796,18,0.0000,5.2365,0.9982,mol_17
ADRR_5,5.2351,0.9503,0.9947,0.8394,1.1954,18,0.0000,5.2351,1.0000,mol_17
ADRR_6,5.2231,0.9465,0.9944,0.8422,1.1847,18,0.0000,5.2231,0.9498,mol_17
DRR_1,5.0832,0.9950,0.9910,0.8356,1.0063,18,0.0000,5.0832,1.0000,mol_17
RRR_1,5.0731,0.9911,0.9902,0.8411,0.9955,18,0.0000,5.0731,1.0000,mol_17
DRR_2,5.0560,0.9724,0.9880,0.8244,1.0160,18,0.0000,5.0560,0.9776,mol_17
ARR_1,5.0384,0.9914,0.9918,0.8423,0.9577,18,0.0000,5.0384,1.0000,mol_17
DRR_3,5.0303,0.9890,0.9921,0.8198,0.9742,18,0.0000,5.0303,1.0000,mol_17
ARR_2,5.0221,0.9851,0.9948,0.8381,0.9488,18,0.0000,5.0221,0.9677,mol_17
DRR_4,5.0142,0.9952,0.9951,0.8142,0.9544,18,0.0000,5.0142,0.9964,mol_12
ARR_3,4.9961,0.9945,0.9903,0.8375,0.9185,18,0.0000,4.9961,0.8070,mol_17
ARR_4,4.9931,0.9953,0.9883,0.8199,0.9344,18,0.0000,4.9931,0.9963,mol_17
ADR_1,4.9849,0.9949,0.9980,0.8328,0.9039,18,0.0000,4.9849,1.0000,mol_17
