mol_id,title,num_confs,has_sites
1,118662899,1,1
2,90354222,1,1
3,118668476,1,1
4,90354118,1,1
5,90354061,1,1
6,90354175,1,1
7,118668480,1,1
8,118662983,1,1
9,118663030,1,1
10,85470576,1,1
11,118662938,1,1
12,118662908,1,1
13,118663064,1,1
14,118662967,1,1
15,90376380,1,1
16,90353989,1,1
17,90353946,1,1
18,118663034,1,1
19,85469694,1,1
20,90354062,1,1
21,118668473,1,1
22,90385108,1,1
23,118662986,1,1
24,118662915,1,1
25,90354191,1,1
26,118662956,1,1
27,90354569,1,1
28,90353912,1,1
29,90354088,1,1
30,118668474,1,1
31,85470577,1,1
32,118662888,1,1
33,90354066,1,1
34,85470508,1,1
35,90354181,1,1
36,118662922,1,1
37,134142625,1,1
38,118662954,1,1
39,118663024,1,1
40,90354083,1,1
41,90354121,1,1
42,118663027,1,1
43,85469693,1,1
44,90354228,1,1
45,118662883,1,1
46,118662943,1,1
47,118662949,1,1
48,90355357,1,1
49,85470575,1,1
50,118663061,1,1
51,90353978,1,1
52,118662991,1,1
53,90354167,1,1
54,90354148,1,1
55,85470578,1,1
56,118663010,1,1
57,85470503,1,1
58,118662955,1,1
59,131635881,1,1
60,118662994,1,1
61,90354261,1,1
62,90354077,1,1
63,118663037,1,1
64,118663081,1,1
65,118662957,1,1
66,118662944,1,1
67,90354029,1,1
68,85470504,1,1
69,90354094,1,1
70,85470579,1,1
71,118668481,1,1
72,134138244,1,1
73,118663094,1,1
74,118663089,1,1
75,90354232,1,1
76,118668475,1,1
77,90353965,1,1
78,90354012,1,1
79,118663022,1,1
80,85469695,1,1
81,118662969,1,1
82,85470505,1,1
83,118662928,1,1
84,118663019,1,1
85,118663079,1,1
86,118668482,1,1
87,90354280,1,1
88,90354138,1,1
89,85470507,1,1
90,118662891,1,1
91,118662998,1,1
92,118663038,1,1
93,118663028,1,1
94,118662907,1,1
95,118663046,1,1
96,118663032,1,1
97,90354032,1,1
98,118662960,1,1
99,85470574,1,1
100,85470447,1,1
101,90354129,1,1
102,90353980,1,1
103,90353913,1,1
104,85470573,1,1
105,118663015,1,1
106,90354015,1,1
107,85469696,1,1
108,118662971,1,1
109,90353896,1,1
110,90354131,1,1
111,118662886,1,1
112,118662900,1,1
113,118668486,1,1
114,90354097,1,1
115,118662993,1,1
116,76070677,1,1
117,118662965,1,1
118,118663069,1,1
119,118663051,1,1
120,90178103,1,1
121,118662898,1,1
122,118663088,1,1
123,118662976,1,1
124,118662974,1,1
125,90354019,1,1
126,118663039,1,1
127,90354227,1,1
128,118662901,1,1
129,118662996,1,1
130,118663050,1,1
131,118662882,1,1
132,90353958,1,1
133,90354004,1,1
134,90354052,1,1
135,118663012,1,1
136,118662988,1,1
137,85470509,1,1
138,90354045,1,1
139,118668479,1,1
140,90354154,1,1
141,118662894,1,1
142,118662980,1,1
143,118663093,1,1
144,118662972,1,1
145,118662961,1,1
146,90353911,1,1
147,118663076,1,1
148,118663023,1,1
149,90354245,1,1
150,90354005,1,1
151,118663055,1,1
152,90354017,1,1
153,118662964,1,1
154,118663096,1,1
155,90376270,1,1
156,90353967,1,1
157,118663059,1,1
158,118663054,1,1
159,118662946,1,1
160,118662997,1,1
161,118662975,1,1
162,90354103,1,1
163,77108486,1,1
164,90354177,1,1
165,90354036,1,1
166,118663068,1,1
167,118663049,1,1
168,118663001,1,1
169,118663092,1,1
170,118662931,1,1
171,118663067,1,1
172,118662895,1,1
173,118663084,1,1
174,131636096,1,1
175,118662889,1,1
176,118662910,1,1
177,90385104,1,1
178,118662977,1,1
179,90385122,1,1
180,90385111,1,1
181,118663005,1,1
182,118662930,1,1
183,118662887,1,1
184,118662995,1,1
185,118662903,1,1
186,90385125,1,1
187,90385103,1,1
188,118663060,1,1
189,118663040,1,1
190,118662892,1,1
191,90385121,1,1
192,118663008,1,1
193,118663111,1,1
194,118663006,1,1
195,90385131,1,1
196,90385102,1,1
197,118663063,1,1
198,118663056,1,1
199,118662925,1,1
200,118662978,1,1
201,90385127,1,1
202,90385109,1,1
203,137658352,1,1
204,118663071,1,1
205,131636097,1,1
206,90375298,1,1
207,90385120,1,1
208,118662945,1,1
209,118662953,1,1
210,90376322,1,1
211,118663020,1,1
212,118662937,1,1
213,118662924,1,1
214,118663066,1,1
215,118662948,1,1
216,90385133,1,1
217,90385100,1,1
218,90385101,1,1
219,118663033,1,1
220,118662926,1,1
221,118662942,1,1
222,118663000,1,1
223,90376025,1,1
224,118662918,1,1
225,90385099,1,1
226,118662890,1,1
227,90385166,1,1
228,162648579,1,1
229,162653727,1,1
230,162656129,1,1
231,118662941,1,1
