Prot_A,Prot_B,score,Disease
DRD3,GNAI1,0.983,Alzheimer's Disease
GNG4,GNAI1,0.972,Alzheimer's Disease
DRD4,KLHL12,0.828,Alzheimer's Disease
GNGT1,GNAI1,0.984,Alzheimer's Disease
SLC6A3,DRD2,0.999,Alzheimer's Disease
GNG2,DRD2,0.981,Alzheimer's Disease
MAOA,MAOB,0.965,Alzheimer's Disease
MAOA,DBH,0.987,Alzheimer's Disease
MAOA,COMT,0.996,Alzheimer's Disease
COMT,DBH,0.979,Alzheimer's Disease
COMT,MAOB,0.996,Alzheimer's Disease
DRD2,GNAI1,0.998,Alzheimer's Disease
MAOB,DBH,0.984,Alzheimer's Disease
PPP2CB,ARRB1,0.817,Alzheimer's Disease
PPP2CB,ARRB2,0.82,Alzheimer's Disease
PPP2CB,DRD2,0.913,Alzheimer's Disease
PPP2CB,PPP2CA,0.986,Alzheimer's Disease
SST,GNAI3,0.8,Alzheimer's Disease
SST,GNG2,0.817,Alzheimer's Disease
SST,GNB1,0.846,Alzheimer's Disease
SST,GNAI1,0.877,Alzheimer's Disease
GNAI2,DRD2,0.985,Alzheimer's Disease
GNAI2,CNR1,0.993,Alzheimer's Disease
GNG2,GHRL,0.802,Alzheimer's Disease
GNG2,ADORA2A,0.855,Alzheimer's Disease
GNG2,CNR1,0.94,Alzheimer's Disease
GHRL,GNB1,0.8,Alzheimer's Disease
DRD2,PPP2CA,0.915,Alzheimer's Disease
DRD2,GNAI3,0.956,Alzheimer's Disease
DRD2,ARRB1,0.977,Alzheimer's Disease
DRD2,NCS1,0.982,Alzheimer's Disease
DRD2,CNR1,0.99,Alzheimer's Disease
DRD2,GNB1,0.991,Alzheimer's Disease
DRD2,ADORA2A,0.997,Alzheimer's Disease
DRD2,ARRB2,0.998,Alzheimer's Disease
CNR1,GNAI3,0.933,Alzheimer's Disease
CNR1,GNB1,0.943,Alzheimer's Disease
CNR1,GNAI1,0.995,Alzheimer's Disease
GNB1,ADORA2A,0.928,Alzheimer's Disease
ARRB2,PPP2CA,0.836,Alzheimer's Disease
ARRB2,ARRB1,0.986,Alzheimer's Disease
ARRB1,PPP2CA,0.833,Alzheimer's Disease
GALR1,GNG2,0.821,Alzheimer's Disease
GALR1,GNB1,0.909,Alzheimer's Disease
GALR1,GNAI1,0.912,Alzheimer's Disease
HTR1A,GNG2,0.938,Alzheimer's Disease
HTR1A,GNAI1,0.97,Alzheimer's Disease
HTR1A,GNB1,0.973,Alzheimer's Disease
GNG2,NPY,0.811,Alzheimer's Disease
GNG2,HTR2A,0.816,Alzheimer's Disease
GNG2,GRM4,0.817,Alzheimer's Disease
GNG2,HTR1B,0.975,Alzheimer's Disease
HTR1B,GNB1,0.979,Alzheimer's Disease
GNB1,NPY,0.804,Alzheimer's Disease
GNB1,GRM4,0.812,Alzheimer's Disease
GNB1,HTR2A,0.824,Alzheimer's Disease
NPY,GNAI1,0.863,Alzheimer's Disease
GNA11,HTR2C,0.915,Alzheimer's Disease
GNA11,HTR2A,0.92,Alzheimer's Disease
GNA11,HTR2B,0.925,Alzheimer's Disease
GNA11,GNG2,0.948,Alzheimer's Disease
GNA11,GNAQ,0.973,Alzheimer's Disease
GNA11,GNB1,0.994,Alzheimer's Disease
HTR2B,GNG2,0.817,Alzheimer's Disease
HTR2B,GNB1,0.84,Alzheimer's Disease
HTR2B,CACNA1F,0.9,Alzheimer's Disease
HTR2B,CACNA1S,0.902,Alzheimer's Disease
HTR2B,CACNA1D,0.908,Alzheimer's Disease
HTR2B,CACNA1C,0.916,Alzheimer's Disease
