Prot_A,Prot_B,score,Disease
PIK3R3,THRB,0.913,Alzheimer's Disease
PIK3R3,PIK3R1,0.997,Alzheimer's Disease
PIK3R3,PIK3CA,0.999,Alzheimer's Disease
PIK3R3,PIK3CD,0.999,Alzheimer's Disease
PIK3R3,PIK3CB,0.999,Alzheimer's Disease
MAPK3,THRB,0.916,Alzheimer's Disease
PIK3CA,THRA,0.901,Alzheimer's Disease
PIK3CA,THRB,0.908,Alzheimer's Disease
PIK3CA,PIK3CD,0.998,Alzheimer's Disease
PIK3CA,PIK3CB,0.998,Alzheimer's Disease
PIK3CA,PIK3R1,0.999,Alzheimer's Disease
THRA,PIK3CD,0.9,Alzheimer's Disease
THRA,PIK3CB,0.9,Alzheimer's Disease
THRA,THRB,0.938,Alzheimer's Disease
THRA,PIK3R1,0.956,Alzheimer's Disease
THRA,RXRA,0.967,Alzheimer's Disease
THRA,NCOR1,0.978,Alzheimer's Disease
PIK3CD,THRB,0.9,Alzheimer's Disease
PIK3CD,PIK3CB,0.998,Alzheimer's Disease
PIK3CD,PIK3R1,0.999,Alzheimer's Disease
THRB,PIK3CB,0.907,Alzheimer's Disease
THRB,PIK3R1,0.966,Alzheimer's Disease
CRY1,NPAS2,0.999,Alzheimer's Disease
CRY1,CPX-3229,0.999,Alzheimer's Disease
CRY1,PER3,0.999,Alzheimer's Disease
RORA,RORC,0.934,Alzheimer's Disease
RORA,RORB,0.941,Alzheimer's Disease
RORA,NPAS2,0.981,Alzheimer's Disease
RORA,NRIP1,0.982,Alzheimer's Disease
STAT3,IL23R,0.98,Alzheimer's Disease
RORC,NRIP1,0.91,Alzheimer's Disease
RORC,RORB,0.935,Alzheimer's Disease
RORC,FOXP3,0.987,Alzheimer's Disease
NPAS2,PER3,0.911,Alzheimer's Disease
NPAS2,CPX-3229,0.999,Alzheimer's Disease
CPX-3229,PER3,0.98,Alzheimer's Disease
NAMPT,PNP,0.934,Alzheimer's Disease
NAMPT,SIRT5,0.952,Alzheimer's Disease
NAMPT,CD38,0.955,Alzheimer's Disease
NAMPT,NNMT,0.966,Alzheimer's Disease
NAMPT,NMNAT2,0.976,Alzheimer's Disease
NAMPT,NMNAT1,0.992,Alzheimer's Disease
CD38,NADSYN1,0.908,Alzheimer's Disease
CD38,NNT,0.909,Alzheimer's Disease
CD38,PNP,0.922,Alzheimer's Disease
CD38,SIRT5,0.923,Alzheimer's Disease
CD38,NNMT,0.925,Alzheimer's Disease
CD38,NMNAT2,0.94,Alzheimer's Disease
CD38,NMNAT1,0.95,Alzheimer's Disease
NNT,NADSYN1,0.91,Alzheimer's Disease
NNT,SIRT5,0.921,Alzheimer's Disease
NNT,NMNAT2,0.924,Alzheimer's Disease
NNT,NMNAT1,0.93,Alzheimer's Disease
NMNAT2,NMNAT1,0.918,Alzheimer's Disease
NMNAT2,SIRT5,0.941,Alzheimer's Disease
NMNAT2,NADSYN1,0.985,Alzheimer's Disease
CYCS,SIRT5,0.968,Alzheimer's Disease
NADSYN1,SIRT5,0.941,Alzheimer's Disease
NADSYN1,NMNAT1,0.99,Alzheimer's Disease
CPX-2556,SIRT5,0.948,Alzheimer's Disease
PNP,NNMT,0.917,Alzheimer's Disease
PNP,SIRT5,0.918,Alzheimer's Disease
NMNAT1,SIRT5,0.948,Alzheimer's Disease
NNMT,SIRT5,0.919,Alzheimer's Disease
SULT2A1,CYP2B6,0.955,Alzheimer's Disease
ALDH1A1,EPHX2,0.824,Alzheimer's Disease
ALDH1A1,AOX1,0.951,Alzheimer's Disease
GUSB,CES1,0.981,Alzheimer's Disease
CES1,CYP3A4,0.958,Alzheimer's Disease
MPO,NAT1,0.909,Alzheimer's Disease
MPO,NAT2,0.91,Alzheimer's Disease
MPO,CES1,0.939,Alzheimer's Disease
NAT2,CES1,0.921,Alzheimer's Disease
CES1,NAT1,0.915,Alzheimer's Disease
CES1,CYP2E1,0.933,Alzheimer's Disease
PRKACA,PPARA,0.946,Alzheimer's Disease
PRKACB,PPARA,0.945,Alzheimer's Disease
PPARA,TRIB3,0.929,Alzheimer's Disease
MAPK1,NFATC2,0.921,Alzheimer's Disease
MAPK1,SMAD3,0.962,Alzheimer's Disease
FOSB,MAPK9,0.938,Alzheimer's Disease
FOSB,MAPK8,0.945,Alzheimer's Disease
FOSB,FOSL2,0.998,Alzheimer's Disease
FOSB,JUN,0.999,Alzheimer's Disease
FOSB,JUND,0.999,Alzheimer's Disease
JUND,ATF2,0.895,Alzheimer's Disease
JUND,MAPK9,0.987,Alzheimer's Disease
JUND,MAPK8,0.995,Alzheimer's Disease
JUND,JUN,0.999,Alzheimer's Disease
JUND,FOS,0.999,Alzheimer's Disease
JUND,FOSL2,0.999,Alzheimer's Disease
EP300,ATF2,0.976,Alzheimer's Disease
EP300,CREB1,0.999,Alzheimer's Disease
ATF2,FOSL2,0.824,Alzheimer's Disease
ATF2,MAPK9,0.972,Alzheimer's Disease
ATF2,CREB1,0.986,Alzheimer's Disease
ATF2,MAPK8,0.998,Alzheimer's Disease
FOSL2,MAPK9,0.936,Alzheimer's Disease
FOSL2,MAPK8,0.946,Alzheimer's Disease
FOSL2,FOS,0.998,Alzheimer's Disease
FOSL2,JUN,0.999,Alzheimer's Disease
TP53,COPS5,0.977,Alzheimer's Disease
TP53,ATF3,0.982,Alzheimer's Disease
TP53,MAPK9,0.982,Alzheimer's Disease
TP53,ESR1,0.992,Alzheimer's Disease
TP53,MAPK8,0.997,Alzheimer's Disease
FOS,MAPK9,0.977,Alzheimer's Disease
FOS,MAPK8,0.986,Alzheimer's Disease
FOS,NFATC2,0.998,Alzheimer's Disease
SMAD3,MAPK9,0.927,Alzheimer's Disease
SMAD3,MAPK8,0.977,Alzheimer's Disease
ATF3,JUN,0.999,Alzheimer's Disease
JUN,NFATC2,0.998,Alzheimer's Disease
JUN,MAPK9,0.999,Alzheimer's Disease
JUN,MAPK8,0.999,Alzheimer's Disease
MAPK8,ESR1,0.964,Alzheimer's Disease
MAPK8,MAPK9,0.999,Alzheimer's Disease
MAPK9,ESR1,0.927,Alzheimer's Disease
SNRPD3,SMN2,0.951,Alzheimer's Disease
SNRPD3,STRAP,0.955,Alzheimer's Disease
SNRPD3,SMN1,0.981,Alzheimer's Disease
SNRPD3,CLNS1A,0.997,Alzheimer's Disease
SNRPD3,SNRPD2,0.999,Alzheimer's Disease
SNRPD3,SNRPF,0.999,Alzheimer's Disease
COIL,SMN1,0.97,Alzheimer's Disease
SNRPF,STRAP,0.944,Alzheimer's Disease
SNRPF,SMN2,0.984,Alzheimer's Disease
SNRPF,CLNS1A,0.987,Alzheimer's Disease
SNRPF,SMN1,0.997,Alzheimer's Disease
SNRPF,SNRPD2,0.999,Alzheimer's Disease
SNRPD2,STRAP,0.975,Alzheimer's Disease
SNRPD2,SMN2,0.994,Alzheimer's Disease
SNRPD2,CLNS1A,0.998,Alzheimer's Disease
SNRPD2,SMN1,0.998,Alzheimer's Disease
SMN1,CLNS1A,0.926,Alzheimer's Disease
SMN1,SMN2,0.98,Alzheimer's Disease
SMN1,STRAP,0.998,Alzheimer's Disease
SMN2,CLNS1A,0.853,Alzheimer's Disease
SMN2,STRAP,0.99,Alzheimer's Disease
GNAQ,TSHR,0.964,Alzheimer's Disease
GIP,TSHR,0.9,Alzheimer's Disease
VIP,TSHR,0.904,Alzheimer's Disease
GNAS,IGLL5,0.8,Alzheimer's Disease
GNAS,IGF1R,0.927,Alzheimer's Disease
GNAS,TSHR,0.997,Alzheimer's Disease
NPPA,TSHR,0.907,Alzheimer's Disease
GNB1,IGLL5,0.874,Alzheimer's Disease
GNB1,TSHR,0.901,Alzheimer's Disease
POMC,TSHR,0.934,Alzheimer's Disease
GCG,TSHR,0.918,Alzheimer's Disease
IGLL5,TSHR,0.901,Alzheimer's Disease
TSHR,ADCYAP1,0.914,Alzheimer's Disease
CCL2,JUN,0.98,Alzheimer's Disease
CCL2,NFKB1,0.982,Alzheimer's Disease
CCL2,RELA,0.987,Alzheimer's Disease
CCL2,PF4,0.998,Alzheimer's Disease
NFKB1,CXCL8,0.988,Alzheimer's Disease
PF4,CXCL8,0.999,Alzheimer's Disease
PF4,CXCR3,0.999,Alzheimer's Disease
CXCL8,JUN,0.987,Alzheimer's Disease
CXCL8,RELA,0.995,Alzheimer's Disease
CXCL8,ACKR1,0.999,Alzheimer's Disease
APOB,APP,0.839,Alzheimer's Disease
APOB,CLU,0.865,Alzheimer's Disease
APOB,APOE,0.999,Alzheimer's Disease
APOB,APOA1,0.999,Alzheimer's Disease
APOA1,APP,0.982,Alzheimer's Disease
APOA1,CLU,0.998,Alzheimer's Disease
APOA1,A2M,0.998,Alzheimer's Disease
APOA1,APOE,0.999,Alzheimer's Disease
TTR,APP,0.982,Alzheimer's Disease
TTR,RBP4,0.999,Alzheimer's Disease
APOE,LRP2,0.999,Alzheimer's Disease
PRKN,VDAC1,0.979,Alzheimer's Disease
CPX-2556,TP53,0.947,Alzheimer's Disease
CPX-2556,BRD4,0.999,Alzheimer's Disease
CCNT1,CCNT2,0.986,Alzheimer's Disease
CCNT1,BRD4,0.999,Alzheimer's Disease
EP300,CPX-2556,0.984,Alzheimer's Disease
EP300,BRD4,0.988,Alzheimer's Disease
BRD4,TP53,0.99,Alzheimer's Disease
BRD4,RELA,0.999,Alzheimer's Disease
TP53,CPX-2556,0.971,Alzheimer's Disease
PKM,GCH1,0.811,Alzheimer's Disease
PKM,GUCY1B1,0.906,Alzheimer's Disease
GUCY1B1,GCH1,0.816,Alzheimer's Disease
GUCY1B1,NOS1,0.921,Alzheimer's Disease
PDE3B,PDE3A,0.919,Alzheimer's Disease
CERK,GALC,0.942,Alzheimer's Disease
CERK,UGT8,0.951,Alzheimer's Disease
CERK,SMPD2,0.964,Alzheimer's Disease
CERK,CERS2,0.967,Alzheimer's Disease
CERK,SGMS1,0.967,Alzheimer's Disease
CERK,SMPD1,0.968,Alzheimer's Disease
CERK,ASAH2,0.975,Alzheimer's Disease
CERK,UGCG,0.977,Alzheimer's Disease
CERK,ASAH1,0.979,Alzheimer's Disease
SMPD2,GALC,0.93,Alzheimer's Disease
SMPD2,UGT8,0.938,Alzheimer's Disease
SMPD2,CERS2,0.967,Alzheimer's Disease
SMPD2,SGMS1,0.968,Alzheimer's Disease
SMPD2,UGCG,0.973,Alzheimer's Disease
SMPD2,SMPD1,0.994,Alzheimer's Disease
GALC,ASAH2,0.934,Alzheimer's Disease
GALC,CERS2,0.937,Alzheimer's Disease
GALC,SGMS1,0.938,Alzheimer's Disease
GALC,UGCG,0.95,Alzheimer's Disease
CERS2,UGT8,0.945,Alzheimer's Disease
CERS2,ASAH2,0.961,Alzheimer's Disease
CERS2,SGMS1,0.964,Alzheimer's Disease
CERS2,SMPD1,0.968,Alzheimer's Disease
CERS2,UGCG,0.97,Alzheimer's Disease
CERS2,ASAH1,0.975,Alzheimer's Disease
UGT8,ASAH2,0.916,Alzheimer's Disease
UGT8,SGMS1,0.936,Alzheimer's Disease
UGT8,UGCG,0.969,Alzheimer's Disease
SMPD1,UGCG,0.969,Alzheimer's Disease
SMPD1,SGMS1,0.975,Alzheimer's Disease
SGMS1,ASAH1,0.962,Alzheimer's Disease
SGMS1,UGCG,0.963,Alzheimer's Disease
SGMS1,ASAH2,0.965,Alzheimer's Disease
UGCG,ASAH2,0.962,Alzheimer's Disease
UGCG,ASAH1,0.971,Alzheimer's Disease
ASAH1,ASAH2,0.993,Alzheimer's Disease
GHRL,INS,0.983,Alzheimer's Disease
GIP,DPP4,0.98,Alzheimer's Disease
GIP,GLP1R,0.999,Alzheimer's Disease
DPP4,GCG,0.987,Alzheimer's Disease
VIP,GLP1R,0.988,Alzheimer's Disease
GLP1R,NPPA,0.943,Alzheimer's Disease
GLP1R,ADCYAP1,0.949,Alzheimer's Disease
CRH,GNB1,0.941,Alzheimer's Disease
CRH,GNG2,0.942,Alzheimer's Disease
CRH,GNAS,0.976,Alzheimer's Disease
CRH,CRHR1,0.999,Alzheimer's Disease
GNAQ,GCGR,0.969,Alzheimer's Disease
GNG2,CRHR1,0.826,Alzheimer's Disease
GNG2,GCGR,0.907,Alzheimer's Disease
GNAS,GCGR,0.995,Alzheimer's Disease
GNAS,CRHR1,0.997,Alzheimer's Disease
GNB1,GCGR,0.961,Alzheimer's Disease
GNB1,CRHR1,0.967,Alzheimer's Disease
CRHR1,GNAI1,0.952,Alzheimer's Disease
GCGR,IGHV3-16,0.8,Alzheimer's Disease
GCGR,GNAI1,0.915,Alzheimer's Disease
GCGR,GCG,0.999,Alzheimer's Disease
GNG2,GIPR,0.907,Alzheimer's Disease
GIP,GIPR,0.999,Alzheimer's Disease
VIP,GIPR,0.965,Alzheimer's Disease
GNAS,GIPR,0.994,Alzheimer's Disease
NPPA,GIPR,0.903,Alzheimer's Disease
GNB1,GIPR,0.961,Alzheimer's Disease
POMC,GIPR,0.942,Alzheimer's Disease
GCG,TCF7L2,0.888,Alzheimer's Disease
GCG,GIPR,0.999,Alzheimer's Disease
ADCYAP1,GIPR,0.956,Alzheimer's Disease
GIPR,IGHV3-16,0.8,Alzheimer's Disease
NRXN2,NRXN1,0.922,Alzheimer's Disease
NRXN2,NLGN2,0.999,Alzheimer's Disease
PRL,LEP,0.985,Alzheimer's Disease
NLGN2,NRXN1,0.999,Alzheimer's Disease
IGF1,INS,0.999,Alzheimer's Disease
FKBP4,PGR,0.977,Alzheimer's Disease
PIK3CA,PGR,0.961,Alzheimer's Disease
NCOR1,PGR,0.993,Alzheimer's Disease
HSPA4,ESR1,0.931,Alzheimer's Disease
PRKACA,PGR,0.937,Alzheimer's Disease
PGR,MAPK8,0.921,Alzheimer's Disease
PGR,PIK3R1,0.931,Alzheimer's Disease
PGR,PRKACB,0.937,Alzheimer's Disease
PGR,ESR1,0.974,Alzheimer's Disease
SRC,MAPK8,0.959,Alzheimer's Disease
ESR1,PIK3R1,0.994,Alzheimer's Disease
FOXA1,AR,0.996,Alzheimer's Disease
MDM2,ESR1,0.946,Alzheimer's Disease
MDM2,HDAC1,0.963,Alzheimer's Disease
MDM2,AR,0.998,Alzheimer's Disease
BRD4,HDAC1,0.954,Alzheimer's Disease
NCOR1,AR,0.991,Alzheimer's Disease
KLK3,AR,0.995,Alzheimer's Disease
HSP90AA1,AR,0.999,Alzheimer's Disease
HSP90AB1,AR,0.999,Alzheimer's Disease
HDAC1,AR,0.964,Alzheimer's Disease
HDAC1,CTNNB1,0.985,Alzheimer's Disease
SRC,AR,0.985,Alzheimer's Disease
AR,CTNNB1,0.996,Alzheimer's Disease
STS,SOAT1,0.823,Alzheimer's Disease
STS,CYP7B1,0.9,Alzheimer's Disease
STS,CYP3A5,0.907,Alzheimer's Disease
STS,CYP2E1,0.91,Alzheimer's Disease
STS,CYP1A2,0.918,Alzheimer's Disease
STS,CYP3A4,0.923,Alzheimer's Disease
CYP3A5,CYP17A1,0.941,Alzheimer's Disease
CYP7B1,CYP17A1,0.933,Alzheimer's Disease
CYP1A2,CYP17A1,0.929,Alzheimer's Disease
CYP17A1,CYP2E1,0.931,Alzheimer's Disease
CYP17A1,CYP3A4,0.948,Alzheimer's Disease
HSD17B2,CYP3A4,0.932,Alzheimer's Disease
HSD17B2,HSD17B12,0.934,Alzheimer's Disease
HSD17B2,CYP3A5,0.937,Alzheimer's Disease
CYP3A5,HSD17B12,0.927,Alzheimer's Disease
CYP3A5,HSD17B1,0.928,Alzheimer's Disease
HSD17B1,CYP3A4,0.939,Alzheimer's Disease
HSD17B1,HSD17B12,0.968,Alzheimer's Disease
HSD17B12,CYP3A4,0.925,Alzheimer's Disease
HSD17B12,CYP19A1,0.956,Alzheimer's Disease
ATP5F1B,NRF1,0.795,Alzheimer's Disease
ATP5F1B,ESRRA,0.833,Alzheimer's Disease
PPARGC1A,RUNX2,0.826,Alzheimer's Disease
PPARGC1A,ESRRG,0.967,Alzheimer's Disease
PPARGC1A,NRIP1,0.985,Alzheimer's Disease
PPARGC1A,TFAM,0.988,Alzheimer's Disease
PPARGC1A,CREB1,0.996,Alzheimer's Disease
PPARGC1A,NRF1,0.999,Alzheimer's Disease
PPARGC1A,ESRRA,0.999,Alzheimer's Disease
CYCS,ESRRA,0.861,Alzheimer's Disease
CYCS,NRF1,0.899,Alzheimer's Disease
NRIP1,ESRRG,0.898,Alzheimer's Disease
NRF1,ALAS1,0.784,Alzheimer's Disease
ESRRG,ESRRA,0.927,Alzheimer's Disease
RUNX2,ESRRA,0.81,Alzheimer's Disease
RUNX2,ESR1,0.942,Alzheimer's Disease
ALAS1,ESRRA,0.795,Alzheimer's Disease
NANOG,KLF4,0.994,Alzheimer's Disease
NANOG,SOX2,0.999,Alzheimer's Disease
SOX2,KLF4,0.998,Alzheimer's Disease
ESRRG,NR0B1,0.764,Alzheimer's Disease
GNB4,GPBAR1,0.763,Alzheimer's Disease
NCKIPSD,GPBAR1,0.836,Alzheimer's Disease
NCKIPSD,ARPC5L,0.864,Alzheimer's Disease
NCKIPSD,ACTR2,0.971,Alzheimer's Disease
NCKIPSD,ARPC4,0.984,Alzheimer's Disease
GNAL,GPBAR1,0.789,Alzheimer's Disease
ARPC5L,GPBAR1,0.826,Alzheimer's Disease
ARPC5L,ACTR2,0.999,Alzheimer's Disease
ARPC5L,ARPC4,0.999,Alzheimer's Disease
GNAS,GPBAR1,0.938,Alzheimer's Disease
ACTR2,GPBAR1,0.898,Alzheimer's Disease
ACTR2,ARPC4,0.999,Alzheimer's Disease
GNB1,GPBAR1,0.762,Alzheimer's Disease
GNB1,S1PR2,0.91,Alzheimer's Disease
ARPC4,GPBAR1,0.917,Alzheimer's Disease
PTK2,GPER1,0.91,Alzheimer's Disease
GNAS,GPER1,0.919,Alzheimer's Disease
DHCR7,DHCR24,0.996,Alzheimer's Disease
HSD17B10,TARBP2,0.911,Alzheimer's Disease
HSD17B10,EHHADH,0.965,Alzheimer's Disease
HSD17B10,ACAA1,0.969,Alzheimer's Disease
HSD17B10,HADHB,0.971,Alzheimer's Disease
HSD17B10,HADHA,0.973,Alzheimer's Disease
HSD17B10,ACAA2,0.98,Alzheimer's Disease
HSD17B10,ECHS1,0.996,Alzheimer's Disease
HSD17B10,TRMT10C,0.999,Alzheimer's Disease
EHHADH,HADHA,0.944,Alzheimer's Disease
EHHADH,ECHS1,0.98,Alzheimer's Disease
EHHADH,ACAA2,0.995,Alzheimer's Disease
EHHADH,ACAA1,0.998,Alzheimer's Disease
EHHADH,HADHB,0.999,Alzheimer's Disease
ACAA2,ACAA1,0.935,Alzheimer's Disease
ACAA2,HADHB,0.961,Alzheimer's Disease
ACAA2,HADHA,0.998,Alzheimer's Disease
HADHB,ACAA1,0.952,Alzheimer's Disease
HADHB,HADHA,0.999,Alzheimer's Disease
ACAA1,HADHA,0.997,Alzheimer's Disease
ECHS1,HADHA,0.977,Alzheimer's Disease
ADH1A,AOX1,0.942,Alzheimer's Disease
ADH1A,ALDH1A1,0.959,Alzheimer's Disease
ALDH1A1,ADH1B,0.949,Alzheimer's Disease
ALDH1A1,DHRS4,0.963,Alzheimer's Disease
ALDH1A1,RDH12,0.969,Alzheimer's Disease
ADH1B,AOX1,0.952,Alzheimer's Disease
DHRS4,AOX1,0.941,Alzheimer's Disease
AOX1,SDR16C5,0.909,Alzheimer's Disease
AOX1,RDH12,0.914,Alzheimer's Disease
ADH1B,MAOB,0.934,Alzheimer's Disease
ADH1B,MAOA,0.946,Alzheimer's Disease
AOX1,NNMT,0.957,Alzheimer's Disease
SOS2,PDGFRA,0.92,Alzheimer's Disease
SOS2,PDGFRB,0.925,Alzheimer's Disease
SOS2,SOS1,0.966,Alzheimer's Disease
SOS2,GAB1,0.978,Alzheimer's Disease
SOS2,GAB2,0.991,Alzheimer's Disease
SOS2,PTPN11,0.994,Alzheimer's Disease
SOS2,EGFR,0.998,Alzheimer's Disease
SOS2,SHC1,0.999,Alzheimer's Disease
SOS2,GRB2,0.999,Alzheimer's Disease
PDGFRA,GAB2,0.911,Alzheimer's Disease
PDGFRA,GAB1,0.911,Alzheimer's Disease
PDGFRA,PTK2,0.919,Alzheimer's Disease
PDGFRA,SOS1,0.927,Alzheimer's Disease
PDGFRA,JAK2,0.929,Alzheimer's Disease
PDGFRA,SHC1,0.938,Alzheimer's Disease
PDGFRA,SRC,0.954,Alzheimer's Disease
PDGFRA,GRB2,0.974,Alzheimer's Disease
PDGFRA,EGFR,0.986,Alzheimer's Disease
PDGFRA,PDGFRB,0.989,Alzheimer's Disease
PDGFRA,PTPN11,0.995,Alzheimer's Disease
PDGFRA,PIK3R1,0.995,Alzheimer's Disease
PDGFRB,GAB2,0.92,Alzheimer's Disease
PDGFRB,PTK2,0.925,Alzheimer's Disease
PDGFRB,GAB1,0.925,Alzheimer's Disease
PDGFRB,SOS1,0.933,Alzheimer's Disease
PDGFRB,JAK2,0.954,Alzheimer's Disease
PDGFRB,SHC1,0.961,Alzheimer's Disease
PDGFRB,EGFR,0.998,Alzheimer's Disease
PDGFRB,PTPN11,0.999,Alzheimer's Disease
PDGFRB,PIK3R1,0.999,Alzheimer's Disease
PDGFRB,GRB2,0.999,Alzheimer's Disease
PDGFRB,SRC,0.999,Alzheimer's Disease
GAB1,GAB2,0.953,Alzheimer's Disease
GAB1,PIK3R1,0.991,Alzheimer's Disease
GAB1,PTPN11,0.999,Alzheimer's Disease
EGFR,GAB2,0.984,Alzheimer's Disease
EGFR,JAK2,0.986,Alzheimer's Disease
EGFR,PTPN11,0.999,Alzheimer's Disease
IRS1,JAK2,0.996,Alzheimer's Disease
IRS1,PIK3R1,0.999,Alzheimer's Disease
IRS1,PTPN11,0.999,Alzheimer's Disease
IRS1,GRB2,0.999,Alzheimer's Disease
PDCD1,PTPN11,0.998,Alzheimer's Disease
PTK2,JAK2,0.962,Alzheimer's Disease
GAB2,SOS1,0.991,Alzheimer's Disease
GAB2,PIK3R1,0.996,Alzheimer's Disease
GAB2,SHC1,0.997,Alzheimer's Disease
GAB2,PTPN11,0.999,Alzheimer's Disease
GAB2,GRB2,0.999,Alzheimer's Disease
SRC,PECAM1,0.948,Alzheimer's Disease
JAK2,PIK3R1,0.987,Alzheimer's Disease
JAK2,SHC1,0.993,Alzheimer's Disease
JAK2,PTPN11,0.998,Alzheimer's Disease
GRB2,PTPN11,0.999,Alzheimer's Disease
SOS1,PTPN11,0.999,Alzheimer's Disease
PECAM1,PTPN11,0.999,Alzheimer's Disease
SIRPA,PTPN11,0.999,Alzheimer's Disease
PPARGC1A,NR1H4,0.983,Alzheimer's Disease
RRAS,RAPGEF3,0.928,Alzheimer's Disease
ADCY8,RAPGEF3,0.948,Alzheimer's Disease
ADCY8,PRKACB,0.955,Alzheimer's Disease
ADCY8,PRKACA,0.971,Alzheimer's Disease
ADCY9,ADCY3,0.933,Alzheimer's Disease
ADCY9,RAPGEF3,0.935,Alzheimer's Disease
ADCY9,PRKACA,0.95,Alzheimer's Disease
ADCY9,PRKACB,0.952,Alzheimer's Disease
ADCY9,ADCY6,0.958,Alzheimer's Disease
ADCY1,PRKACA,0.948,Alzheimer's Disease
ADCY1,PRKACB,0.949,Alzheimer's Disease
ADCY1,RAPGEF3,0.958,Alzheimer's Disease
PRKACA,ADCY3,0.968,Alzheimer's Disease
PRKACA,AKAP1,0.999,Alzheimer's Disease
ADCY6,RAPGEF3,0.951,Alzheimer's Disease
ADCY4,RAPGEF3,0.939,Alzheimer's Disease
PRKACB,ADCY3,0.947,Alzheimer's Disease
PRKACB,AKAP1,0.999,Alzheimer's Disease
ADCY3,RAPGEF3,0.931,Alzheimer's Disease
RAPGEF3,ADCY7,0.929,Alzheimer's Disease
APEX1,EP300,0.944,Alzheimer's Disease
APEX1,TXN,0.983,Alzheimer's Disease
EP300,TXN,0.819,Alzheimer's Disease
EP300,PARP1,0.881,Alzheimer's Disease
TP53,PARP1,0.972,Alzheimer's Disease
TP53,GADD45A,0.991,Alzheimer's Disease
CACNA1C,CALM2,0.97,Alzheimer's Disease
CACNA1C,PRKACA,0.971,Alzheimer's Disease
CACNA1C,PRKACB,0.972,Alzheimer's Disease
CACNA1C,CALM1,0.981,Alzheimer's Disease
CACNA1C,CACNA2D2,0.982,Alzheimer's Disease
CACNA1C,CACNB3,0.997,Alzheimer's Disease
CACNA1C,CACNA2D1,0.998,Alzheimer's Disease
CACNA1C,CACNB2,0.999,Alzheimer's Disease
CACNA1C,CALML5,0.999,Alzheimer's Disease
CACNA1C,CALM3,0.999,Alzheimer's Disease
CACNA1D,PRKACB,0.934,Alzheimer's Disease
CACNA1D,PRKACA,0.935,Alzheimer's Disease
CACNA1D,CACNA2D2,0.971,Alzheimer's Disease
CACNA1D,CALML5,0.99,Alzheimer's Disease
CACNA1D,CALM3,0.99,Alzheimer's Disease
CACNA1D,CACNB3,0.997,Alzheimer's Disease
CACNA1D,CACNB2,0.997,Alzheimer's Disease
CACNA1D,CACNA2D1,0.999,Alzheimer's Disease
CALM3,CACNA1S,0.99,Alzheimer's Disease
CALM3,RYR2,0.999,Alzheimer's Disease
CACNB3,CACNB2,0.961,Alzheimer's Disease
CACNB3,CACNA1S,0.963,Alzheimer's Disease
CACNB3,CACNA1F,0.973,Alzheimer's Disease
CACNB3,CACNA2D1,0.995,Alzheimer's Disease
PRKACA,CACNA1F,0.915,Alzheimer's Disease
PRKACA,CACNA1S,0.919,Alzheimer's Disease
PRKACA,RYR2,0.994,Alzheimer's Disease
CACNB2,CACNA1F,0.973,Alzheimer's Disease
CACNB2,CACNA1S,0.987,Alzheimer's Disease
CACNB2,CACNA2D2,0.99,Alzheimer's Disease
CACNB2,CACNA2D1,0.995,Alzheimer's Disease
CACNA2D1,CACNA1F,0.987,Alzheimer's Disease
CACNA2D1,CACNA1S,0.999,Alzheimer's Disease
CACNA1S,PRKACB,0.917,Alzheimer's Disease
CACNA1S,CALM1,0.944,Alzheimer's Disease
CACNA1S,CALM2,0.948,Alzheimer's Disease
RYR2,CALM2,0.973,Alzheimer's Disease
RYR2,PRKACB,0.993,Alzheimer's Disease
RYR2,CALML5,0.999,Alzheimer's Disease
PRKACB,CACNA1F,0.914,Alzheimer's Disease
GSTM2,EPHX1,0.951,Alzheimer's Disease
GSTM2,GSTM3,0.996,Alzheimer's Disease
GSTM3,EPHX1,0.959,Alzheimer's Disease
APOB,P4HB,0.861,Alzheimer's Disease
P4HB,CALU,0.872,Alzheimer's Disease
CYP27A1,CEL,0.824,Alzheimer's Disease
CYP27A1,LIPA,0.866,Alzheimer's Disease
CYP27A1,SOAT1,0.87,Alzheimer's Disease
CYP27A1,DHCR24,0.887,Alzheimer's Disease
CYP27A1,DHCR7,0.933,Alzheimer's Disease
CYP27A1,CYP46A1,0.947,Alzheimer's Disease
CYP27A1,CYP7B1,0.964,Alzheimer's Disease
CYP27A1,CH25H,0.967,Alzheimer's Disease
CYP46A1,CEL,0.828,Alzheimer's Disease
CYP46A1,LIPA,0.846,Alzheimer's Disease
CYP46A1,SOAT1,0.895,Alzheimer's Disease
CYP46A1,DHCR24,0.913,Alzheimer's Disease
CYP46A1,DHCR7,0.915,Alzheimer's Disease
CYP46A1,CH25H,0.978,Alzheimer's Disease
CYP46A1,CYP39A1,0.98,Alzheimer's Disease
CYP7B1,CH25H,0.989,Alzheimer's Disease
LIPA,CH25H,0.881,Alzheimer's Disease
LIPA,DHCR24,0.919,Alzheimer's Disease
LIPA,DHCR7,0.928,Alzheimer's Disease
LIPA,CEL,0.942,Alzheimer's Disease
DHCR7,CEL,0.913,Alzheimer's Disease
DHCR7,SOAT1,0.942,Alzheimer's Disease
SOAT1,CH25H,0.888,Alzheimer's Disease
SOAT1,DHCR24,0.94,Alzheimer's Disease
DHCR24,CEL,0.909,Alzheimer's Disease
DHCR24,CH25H,0.93,Alzheimer's Disease
