Prot_A,Prot_B,score,Disease
HTR2C,CACNA1D,0.921,Alzheimer's Disease
HTR2C,GNG2,0.941,Alzheimer's Disease
HTR2C,GNB1,0.953,Alzheimer's Disease
HTR2C,GNAS,0.972,Alzheimer's Disease
HTR2C,HTR2A,0.991,Alzheimer's Disease
HTR2C,GNAQ,0.995,Alzheimer's Disease
GNAQ,GNG2,0.972,Alzheimer's Disease
GNAQ,HTR2A,0.99,Alzheimer's Disease
GNAQ,GNB1,0.997,Alzheimer's Disease
CACNA1D,HTR2A,0.916,Alzheimer's Disease
CACNA1D,CACNA1S,0.975,Alzheimer's Disease
CACNA1D,CACNA1F,0.98,Alzheimer's Disease
GNG2,GRM2,0.936,Alzheimer's Disease
CACNA1S,HTR2A,0.909,Alzheimer's Disease
CACNA1S,CACNA1F,0.988,Alzheimer's Disease
GNAS,HTR2A,0.932,Alzheimer's Disease
CACNA1F,HTR2A,0.9,Alzheimer's Disease
GNB1,GRM2,0.806,Alzheimer's Disease
GNA11,AGTR1,0.942,Alzheimer's Disease
GNAQ,AGTR1,0.997,Alzheimer's Disease
TPH1,TPH2,0.96,Alzheimer's Disease
GNG2,POMC,0.895,Alzheimer's Disease
GNB1,POMC,0.908,Alzheimer's Disease
HTR6,GIP,0.9,Alzheimer's Disease
HTR6,NPPA,0.904,Alzheimer's Disease
HTR6,GCG,0.906,Alzheimer's Disease
HTR6,ADCYAP1,0.915,Alzheimer's Disease
HTR6,VIP,0.916,Alzheimer's Disease
HTR6,POMC,0.92,Alzheimer's Disease
GNAL,GNAS,0.975,Alzheimer's Disease
GNAL,GNB1,0.978,Alzheimer's Disease
GNG2,GCG,0.896,Alzheimer's Disease
GNG2,GIP,0.898,Alzheimer's Disease
GNG2,ADCYAP1,0.901,Alzheimer's Disease
GIP,IGHV3-16,0.8,Alzheimer's Disease
GIP,GNB1,0.895,Alzheimer's Disease
GIP,GNAS,0.909,Alzheimer's Disease
GNAS,ADCYAP1,0.906,Alzheimer's Disease
GNAS,GCG,0.939,Alzheimer's Disease
GNB1,ADCYAP1,0.898,Alzheimer's Disease
GNB1,GCG,0.898,Alzheimer's Disease
POMC,IGHV3-16,0.8,Alzheimer's Disease
GCG,IGHV3-16,0.8,Alzheimer's Disease
ADCYAP1,IGHV3-16,0.8,Alzheimer's Disease
ALDH2,MAOB,0.975,Alzheimer's Disease
ALDH2,MAOA,0.982,Alzheimer's Disease
GNA11,CHRM5,0.902,Alzheimer's Disease
GNA11,GRM5,0.907,Alzheimer's Disease
GNA11,CHRM3,0.908,Alzheimer's Disease
GNA11,CHRM1,0.92,Alzheimer's Disease
GNA11,PLCB3,0.952,Alzheimer's Disease
CHRM3,KNG1,0.903,Alzheimer's Disease
CHRM3,CHRM1,0.91,Alzheimer's Disease
CHRM3,GRM5,0.929,Alzheimer's Disease
CHRM3,CHRM5,0.933,Alzheimer's Disease
CHRM3,GNAQ,0.95,Alzheimer's Disease
GNAQ,CHRM5,0.91,Alzheimer's Disease
GNAQ,CHRM1,0.963,Alzheimer's Disease
GNAQ,LPAR3,0.978,Alzheimer's Disease
GNAQ,F2R,0.991,Alzheimer's Disease
GNAQ,LPAR2,0.994,Alzheimer's Disease
GNAQ,LPAR1,0.997,Alzheimer's Disease
GNAQ,GRM5,0.999,Alzheimer's Disease
GNAQ,PLCB3,0.999,Alzheimer's Disease
GRM5,CHRM5,0.946,Alzheimer's Disease
GRM5,CHRM1,0.95,Alzheimer's Disease
CHRM1,LPAR2,0.9,Alzheimer's Disease
CHRM1,CHRM5,0.905,Alzheimer's Disease
CHRM1,F2R,0.907,Alzheimer's Disease
CHRM1,LPAR3,0.908,Alzheimer's Disease
CHRM1,CHRM2,0.908,Alzheimer's Disease
CHRM1,KNG1,0.914,Alzheimer's Disease
CHRM1,LPAR1,0.916,Alzheimer's Disease
F2R,LPAR3,0.915,Alzheimer's Disease
F2R,CHRM2,0.919,Alzheimer's Disease
F2R,LPAR2,0.923,Alzheimer's Disease
F2R,LPAR1,0.945,Alzheimer's Disease
F2R,ARRB2,0.962,Alzheimer's Disease
F2R,ARRB1,0.962,Alzheimer's Disease
LPAR3,CHRM2,0.9,Alzheimer's Disease
LPAR3,LPAR1,0.938,Alzheimer's Disease
LPAR3,LPAR2,0.949,Alzheimer's Disease
LPAR1,CHRM2,0.91,Alzheimer's Disease
LPAR1,LPAR2,0.953,Alzheimer's Disease
CHRM5,KNG1,0.903,Alzheimer's Disease
CHRM2,LPAR2,0.9,Alzheimer's Disease
CHRM2,KNG1,0.904,Alzheimer's Disease
CHRM2,ARRB1,0.956,Alzheimer's Disease
CHRM4,KNG1,0.905,Alzheimer's Disease
KCNH2,KCNH6,0.883,Alzheimer's Disease
KCNH2,HSP90AA1,0.958,Alzheimer's Disease
HSPA4,HSP90AB1,0.999,Alzheimer's Disease
HSPA4,HSP90AA1,0.999,Alzheimer's Disease
SCN4B,SCN5A,0.994,Alzheimer's Disease
HSP90AA1,CAV3,0.848,Alzheimer's Disease
HSP90AA1,HSP90AB1,0.997,Alzheimer's Disease
CAV3,HSP90AB1,0.848,Alzheimer's Disease
APEX1,POLB,0.998,Alzheimer's Disease
APEX1,FEN1,0.998,Alzheimer's Disease
XRCC1,XRCC6,0.985,Alzheimer's Disease
XRCC1,APTX,0.999,Alzheimer's Disease
XRCC1,PNKP,0.999,Alzheimer's Disease
XRCC1,PARP1,0.999,Alzheimer's Disease
XRCC1,POLB,0.999,Alzheimer's Disease
POLB,TDP1,0.963,Alzheimer's Disease
POLB,FEN1,0.987,Alzheimer's Disease
POLB,PNKP,0.995,Alzheimer's Disease
POLB,PARP1,0.996,Alzheimer's Disease
ATM,ERCC4,0.965,Alzheimer's Disease
ATM,PRKDC,0.971,Alzheimer's Disease
ATM,XRCC6,0.997,Alzheimer's Disease
ATM,XRCC5,0.998,Alzheimer's Disease
ERCC4,PRKDC,0.935,Alzheimer's Disease
ERCC4,XRCC6,0.972,Alzheimer's Disease
ERCC4,XRCC5,0.976,Alzheimer's Disease
PRKDC,XRCC5,0.999,Alzheimer's Disease
PRKDC,XRCC6,0.999,Alzheimer's Disease
XRCC6,PARP1,0.998,Alzheimer's Disease
XRCC6,XRCC5,0.999,Alzheimer's Disease
TOP1,TOP2A,0.994,Alzheimer's Disease
PARP1,XRCC5,0.996,Alzheimer's Disease
TUBA4A,TUBA1A,0.947,Alzheimer's Disease
TUBA4A,MAPT,0.981,Alzheimer's Disease
TUBA4A,TUBB3,0.993,Alzheimer's Disease
APOE,MAPT,0.991,Alzheimer's Disease
APOE,SNCA,0.996,Alzheimer's Disease
APOE,APP,0.999,Alzheimer's Disease
TUBB2B,MAPT,0.994,Alzheimer's Disease
TUBB2B,TUBA1A,0.997,Alzheimer's Disease
TUBB2B,TUBA1B,0.998,Alzheimer's Disease
MAPK3,MAPT,0.968,Alzheimer's Disease
MAPK3,CASP3,0.985,Alzheimer's Disease
APP,SNCA,0.993,Alzheimer's Disease
CASP3,MAPT,0.98,Alzheimer's Disease
CDK5R1,MAPT,0.969,Alzheimer's Disease
CDK5R1,CDK5,0.999,Alzheimer's Disease
TUBB3,MAPT,0.987,Alzheimer's Disease
TUBB3,TUBA1A,0.999,Alzheimer's Disease
TUBB3,TUBA1B,0.999,Alzheimer's Disease
GSK3B,MAPT,0.999,Alzheimer's Disease
TUBA8,MAPT,0.961,Alzheimer's Disease
TUBA1B,TUBA1A,0.966,Alzheimer's Disease
TUBA1B,MAPT,0.995,Alzheimer's Disease
MAPT,IGLL5,0.968,Alzheimer's Disease
MAPT,YWHAZ,0.974,Alzheimer's Disease
MAPT,CAMK2A,0.976,Alzheimer's Disease
MAPT,TUBA1A,0.978,Alzheimer's Disease
MAPT,FYN,0.994,Alzheimer's Disease
MAPT,SNCA,0.994,Alzheimer's Disease
MAPT,CDK5,0.999,Alzheimer's Disease
FYN,SNCA,0.836,Alzheimer's Disease
FYN,CDK5,0.951,Alzheimer's Disease
RPS11,NPSR1,0.95,Alzheimer's Disease
RPS11,RPL11,0.999,Alzheimer's Disease
RPS11,RPS18,0.999,Alzheimer's Disease
RPS11,RPL5,0.999,Alzheimer's Disease
RPS11,RPL15,0.999,Alzheimer's Disease
RPS11,RPS6,0.999,Alzheimer's Disease
RPS11,RPL23A,0.999,Alzheimer's Disease
RPS11,RPL21,0.999,Alzheimer's Disease
RPS11,FAU,0.999,Alzheimer's Disease
RPL15,NPSR1,0.959,Alzheimer's Disease
RPL15,RPL11,0.999,Alzheimer's Disease
RPL15,RPS18,0.999,Alzheimer's Disease
RPL15,RPL5,0.999,Alzheimer's Disease
RPL15,RPL23A,0.999,Alzheimer's Disease
RPL15,RPS6,0.999,Alzheimer's Disease
RPL15,RPL21,0.999,Alzheimer's Disease
RPL15,FAU,0.999,Alzheimer's Disease
RPL21,NPSR1,0.96,Alzheimer's Disease
RPL21,FAU,0.999,Alzheimer's Disease
RPL21,RPS6,0.999,Alzheimer's Disease
RPL21,RPL23A,0.999,Alzheimer's Disease
RPL21,RPS18,0.999,Alzheimer's Disease
RPL21,RPL5,0.999,Alzheimer's Disease
RPL21,RPL11,0.999,Alzheimer's Disease
RPL5,NPSR1,0.96,Alzheimer's Disease
RPL5,FAU,0.999,Alzheimer's Disease
RPL5,RPS18,0.999,Alzheimer's Disease
RPL5,RPL11,0.999,Alzheimer's Disease
RPL5,RPL23A,0.999,Alzheimer's Disease
RPL5,RPS6,0.999,Alzheimer's Disease
RPS6,NPSR1,0.959,Alzheimer's Disease
RPS6,RPL23A,0.999,Alzheimer's Disease
RPS6,RPL11,0.999,Alzheimer's Disease
RPS6,RPS18,0.999,Alzheimer's Disease
RPS6,FAU,0.999,Alzheimer's Disease
NPSR1,RPL23A,0.95,Alzheimer's Disease
NPSR1,RPS18,0.952,Alzheimer's Disease
NPSR1,RPL11,0.957,Alzheimer's Disease
NPSR1,FAU,0.995,Alzheimer's Disease
NPSR1,NPS,0.999,Alzheimer's Disease
RPL23A,RPL11,0.999,Alzheimer's Disease
RPL23A,RPS18,0.999,Alzheimer's Disease
RPL23A,FAU,0.999,Alzheimer's Disease
RPS18,RPL11,0.999,Alzheimer's Disease
RPS18,FAU,0.999,Alzheimer's Disease
FAU,RPL11,0.999,Alzheimer's Disease
HK2,HKDC1,0.906,Alzheimer's Disease
HK2,MGAM,0.922,Alzheimer's Disease
HK2,HK1,0.979,Alzheimer's Disease
HKDC1,MGAM,0.922,Alzheimer's Disease
HKDC1,HK1,0.973,Alzheimer's Disease
MGAM,HK1,0.922,Alzheimer's Disease
CPX-2556,H1-4,0.968,Alzheimer's Disease
CPX-2556,CPX-2556,0.968,Alzheimer's Disease
CPX-2556,KDM4A,0.993,Alzheimer's Disease
H1-4,CPX-2556,0.928,Alzheimer's Disease
H1-4,KDM4A,0.952,Alzheimer's Disease
KDM4A,CPX-2556,0.912,Alzheimer's Disease
HMOX1,NFE2L2,0.989,Alzheimer's Disease
EIF2AK2,NFE2L2,0.942,Alzheimer's Disease
CUL3,KEAP1,0.999,Alzheimer's Disease
EIF2AK3,NFE2L2,0.977,Alzheimer's Disease
EIF2AK3,ATF4,0.992,Alzheimer's Disease
GSK3B,ATF4,0.932,Alzheimer's Disease
GSK3B,NFE2L2,0.953,Alzheimer's Disease
GSK3B,MYC,0.996,Alzheimer's Disease
ATF4,DDIT3,0.996,Alzheimer's Disease
PARK7,NFE2L2,0.969,Alzheimer's Disease
GCLM,GCLC,0.999,Alzheimer's Disease
SQSTM1,NFE2L2,0.95,Alzheimer's Disease
SQSTM1,KEAP1,0.999,Alzheimer's Disease
KEAP1,NFE2L2,0.999,Alzheimer's Disease
NFE2L2,MYC,0.961,Alzheimer's Disease
NFE2L2,DDIT3,0.968,Alzheimer's Disease
NFE2L2,MAFF,0.991,Alzheimer's Disease
EP300,MYC,0.999,Alzheimer's Disease
ATXN7,CPX-6802,0.982,Alzheimer's Disease
ATXN7,TAF9,0.999,Alzheimer's Disease
ATXN7,TRRAP,0.999,Alzheimer's Disease
CPX-6802,WDR5,0.772,Alzheimer's Disease
CPX-6802,TAF9,0.999,Alzheimer's Disease
CPX-6802,TRRAP,0.999,Alzheimer's Disease
WDR5,TRRAP,0.881,Alzheimer's Disease
WDR5,TAF9,0.937,Alzheimer's Disease
