HypoID,Survival,Site,Vector,Volume,Select,Matches,Inactive,Adjusted,BEDROC,RefLig
DDRRR_1,5.8547,0.9866,0.9986,0.8547,1.8106,16,0.0000,5.8547,0.8658,mol_17
ADDRR_1,5.6539,0.9639,0.9898,0.8415,1.6546,16,0.0000,5.6539,0.8658,mol_17
ADDRR_2,5.5599,0.9844,0.9987,0.8551,1.5176,16,0.0000,5.5599,0.8658,mol_17
AADDR_1,5.3555,0.9627,0.9895,0.8419,1.3573,16,0.0000,5.3555,0.8658,mol_17
ADDRR_3,4.8077,0.6425,0.8570,0.4686,1.6355,16,0.0000,4.8077,0.8658,mol_12
AADDR_2,4.5051,0.6393,0.8534,0.4719,1.3364,16,0.0000,4.5051,0.8658,mol_12
DDRR_1,5.4060,0.9862,0.9983,0.8544,1.3630,16,0.0000,5.4060,0.8658,mol_17
DDRR_2,5.4030,0.9883,0.9983,0.8544,1.3580,16,0.0000,5.4030,0.8658,mol_17
DRRR_1,5.3517,0.9547,0.9973,0.7978,1.3232,19,0.0000,5.3517,0.9732,mol_17
DDRR_3,5.3435,0.9903,0.9994,0.8535,1.2962,16,0.0000,5.3435,0.8658,mol_17
DRRR_2,5.2358,0.8953,0.9665,0.7734,1.3219,19,0.0000,5.2358,0.9141,mol_17
ADRR_1,5.2275,0.9474,0.9839,0.7830,1.2345,19,0.0000,5.2275,0.9876,mol_17
ADDR_1,5.2151,0.9623,0.9872,0.8371,1.2244,16,0.0000,5.2151,0.8658,mol_4
ADDR_2,5.2129,0.9659,0.9875,0.8343,1.2211,16,0.0000,5.2129,0.8658,mol_10
ADRR_2,5.1817,0.9549,0.9958,0.7982,1.1541,19,0.0000,5.1817,0.9644,mol_17
ADRR_3,5.1382,0.9441,0.9404,0.7731,1.2018,19,0.0000,5.1382,0.9651,mol_17
DRR_1,5.0481,0.9750,0.9966,0.7981,0.9997,19,0.0000,5.0481,0.9858,mol_17
DDR_1,5.0472,0.9881,0.9978,0.8540,1.0033,16,0.0000,5.0472,0.8658,mol_17
RRR_1,5.0251,0.9975,0.9990,0.8078,0.9421,19,0.0000,5.0251,1.0000,mol_17
DDR_2,5.0201,0.9946,0.9992,0.8532,0.9690,16,0.0000,5.0201,0.8658,mol_17
ARR_1,4.9966,0.9964,0.9990,0.8080,0.9145,19,0.0000,4.9966,1.0000,mol_17
DRR_2,4.9948,0.9795,0.9945,0.7973,0.9447,19,0.0000,4.9948,0.9572,mol_17
DRR_3,4.9926,0.9502,0.9949,0.7783,0.9904,19,0.0000,4.9926,0.9564,mol_17
DDR_3,4.9902,0.9964,0.9990,0.8337,0.9569,16,0.0000,4.9902,0.8658,mol_10
DRR_4,4.9505,0.9464,0.9561,0.7728,0.9965,19,0.0000,4.9505,0.9115,mol_17
DRR_5,4.9296,0.9548,0.9846,0.7593,0.9521,19,0.0000,4.9296,0.9115,mol_17
