HypoID,Survival,Site,Vector,Volume,Select,Matches,Inactive,Adjusted,BEDROC,RefLig
DRRR_1,5.2928,0.9976,0.9187,0.6887,1.3076,24,0.0000,5.2928,0.9847,mol_13
ADRR_1,5.1310,0.9971,0.9198,0.6886,1.1453,24,0.0000,5.1310,1.0000,mol_13
DRR_1,5.0125,0.9998,0.9999,0.6884,0.9441,24,0.0000,5.0125,0.9600,mol_13
DRR_2,4.9500,0.9980,0.8916,0.6886,0.9915,24,0.0000,4.9500,0.9884,mol_13
DRR_3,4.9338,0.9983,0.8922,0.6885,0.9746,24,0.0000,4.9338,0.9877,mol_13
RRR_1,4.8935,0.9981,0.8913,0.6886,0.9354,24,0.0000,4.8935,0.9792,mol_13
AAR_1,4.8747,0.9958,0.9999,0.6494,0.8679,23,0.0000,4.8747,0.9670,mol_1
ADR_1,4.8688,0.9997,1.0000,0.6884,0.8006,24,0.0000,4.8688,1.0000,mol_13
ARR_1,4.8684,0.9981,0.8939,0.6882,0.9080,24,0.0000,4.8684,0.9967,mol_13
ADR_2,4.7978,0.9982,0.8931,0.6885,0.8379,24,0.0000,4.7978,1.0000,mol_13
