mol_id,title,num_confs,has_sites
1,87405928,1,1
2,53492329,1,1
3,53492330,1,1
4,87406786,1,1
5,87405190,1,1
6,87405291,1,1
7,87407566,1,1
8,87405965,1,1
9,87405953,1,1
10,89424114,1,1
11,87408525,1,1
12,87408321,1,1
13,87405826,1,1
14,87405222,1,1
15,87405796,1,1
16,88898863,1,1
17,87406334,1,1
18,87405236,1,1
19,87405780,1,1
20,87405158,1,1
21,87405750,1,1
22,87406443,1,1
23,87405534,1,1
24,87405083,1,1
25,87405776,1,1
26,67450910,1,1
27,87405962,1,1
28,87406409,1,1
29,87406410,1,1
30,87406530,1,1
31,87406347,1,1
32,87406371,1,1
33,56603818,1,1
34,89421099,1,1
35,89421561,1,1
36,87405559,1,1
37,87405226,1,1
38,87405909,1,1
39,87406393,1,1
40,87406217,1,1
41,89421243,1,1
42,89421265,1,1
43,89421450,1,1
44,88898804,1,1
45,87405570,1,1
46,87405115,1,1
47,?482056,1,1
48,87406425,1,1
49,87406413,1,1
50,87408604,1,1
51,87405235,1,1
52,87410067,1,1
53,87408412,1,1
54,87406428,1,1
55,87405878,1,1
56,87406504,1,1
57,87405986,1,1
58,87405894,1,1
59,87405072,1,1
60,87405207,1,1
61,87406309,1,1
62,87406734,1,1
63,87406479,1,1
64,87406406,1,1
65,87405803,1,1
66,87406442,1,1
67,89421294,1,1
68,87408379,1,1
69,87407564,1,1
