mol_id,title,num_confs,has_sites
1,46879763,1,1
2,44634494,1,1
3,46879807,1,1
4,46879865,1,1
5,46879803,1,1
6,46879804,1,1
7,46879805,1,1
8,46879806,1,1
9,52935500,1,1
10,52935712,1,1
11,52935714,1,1
12,57399460,1,1
13,57390719,1,1
14,52934834,1,1
15,52933915,1,1
16,57399461,1,1
17,54765203,1,1
18,57397800,1,1
19,52934380,1,1
20,57394242,1,1
21,57401229,1,1
22,57399462,1,1
23,57399463,1,1
24,57397801,1,1
25,52934381,1,1
26,57394243,1,1
27,52934146,1,1
28,52935059,1,1
29,57402101,1,1
30,57400298,1,1
31,52935717,1,1
32,57402102,1,1
33,57395100,1,1
34,57400299,1,1
35,57396872,1,1
36,57402103,1,1
37,54765021,1,1
38,54765020,1,1
39,52933917,1,1
40,57403855,1,1
41,57402104,1,1
42,52935061,1,1
43,52934832,1,1
44,57403071,1,1
45,57394348,1,1
46,57403072,1,1
47,57392627,1,1
48,52936149,1,1
49,52936150,1,1
50,52935716,1,1
51,57402971,1,1
52,57397803,1,1
53,52935064,1,1
54,54765280,1,1
55,57394246,1,1
56,57394247,1,1
57,71655603,1,1
58,68517775,1,1
59,68519792,1,1
60,68564018,1,1
61,68560854,1,1
62,68521380,1,1
63,68563058,1,1
64,68567556,1,1
65,68563892,1,1
66,68561431,1,1
67,68567893,1,1
68,68565200,1,1
69,70896923,1,1
70,68566340,1,1
71,68566289,1,1
72,71654972,1,1
73,68563012,1,1
74,71654973,1,1
75,68568011,1,1
76,68517263,1,1
77,68566291,1,1
78,68560451,1,1
79,68565470,1,1
80,68566105,1,1
81,118729139,1,1
82,90354190,1,1
83,118662981,1,1
84,118662920,1,1
85,118663075,1,1
