HypoID,Survival,Site,Vector,Volume,Select,Matches,Inactive,Adjusted,BEDROC,RefLig
AAHRRR_1,6.1519,0.8212,0.8879,0.7151,2.3475,24,0.0000,6.1519,1.0000,mol_2
AAAHRR_1,6.0906,0.8238,0.8892,0.7121,2.2853,24,0.0000,6.0906,1.0000,mol_23
AAAHRR_2,6.0179,0.8227,0.8881,0.7135,2.2133,24,0.0000,6.0179,1.0000,mol_2
AAHRRR_2,5.7330,0.6302,0.7484,0.6279,2.3463,24,0.0000,5.7330,1.0000,mol_11
AAAHRR_3,5.6738,0.6333,0.7498,0.6258,2.2846,24,0.0000,5.6738,1.0000,mol_11
AAAHRR_4,5.5996,0.6344,0.7491,0.6239,2.2120,24,0.0000,5.5996,1.0000,mol_11
AHRRR_1,5.9016,0.9741,0.9306,0.7219,1.8949,24,0.0000,5.9016,1.0000,mol_2
AHRRR_2,5.8780,0.9781,0.8586,0.7214,1.9396,24,0.0000,5.8780,1.0000,mol_2
AAHRR_1,5.8732,0.9705,0.9305,0.7218,1.8702,24,0.0000,5.8732,1.0000,mol_2
AHRRR_3,5.8206,0.9799,0.8587,0.7216,1.8802,24,0.0000,5.8206,1.0000,mol_2
AAHRR_2,5.8089,0.9742,0.9306,0.7219,1.8019,24,0.0000,5.8089,1.0000,mol_2
AAHRR_3,5.7633,0.9767,0.8587,0.7215,1.8262,24,0.0000,5.7633,1.0000,mol_2
AHRRR_4,5.7402,0.9263,0.8627,0.6975,1.8735,24,0.0000,5.7402,1.0000,mol_2
AAAHR_1,5.7399,0.9709,0.9305,0.7217,1.7365,24,0.0000,5.7399,1.0000,mol_2
AAHRR_4,5.6905,0.9112,0.8607,0.6986,1.8397,24,0.0000,5.6905,1.0000,mol_23
AAHRR_5,5.6201,0.9078,0.8565,0.7022,1.7734,24,0.0000,5.6201,1.0000,mol_2
AHRR_1,5.4406,0.9721,0.9990,0.7218,1.3675,24,0.0000,5.4406,1.0000,mol_2
AHRR_2,5.4399,0.9893,0.9064,0.7113,1.4527,24,0.0000,5.4399,1.0000,mol_2
AAHR_1,5.4340,0.9682,0.9989,0.7216,1.3650,24,0.0000,5.4340,1.0000,mol_2
AHRR_3,5.4167,0.9733,0.9074,0.7217,1.4341,24,0.0000,5.4167,1.0000,mol_2
AHRR_4,5.4120,0.9750,0.9077,0.7213,1.4279,24,0.0000,5.4120,0.9994,mol_2
HRRR_1,5.4020,0.9928,0.9061,0.6739,1.4490,24,0.0000,5.4020,1.0000,mol_2
AHRR_5,5.3976,0.9763,0.9038,0.7212,1.4160,24,0.0000,5.3976,1.0000,mol_2
AAHR_2,5.3944,0.9736,0.9073,0.7190,1.4144,24,0.0000,5.3944,1.0000,mol_23
HRRR_2,5.3923,0.9798,0.9037,0.7214,1.4071,24,0.0000,5.3923,1.0000,mol_2
AHRR_6,5.3888,0.9894,0.9089,0.7201,1.3902,24,0.0000,5.3888,1.0000,mol_2
AHR_1,5.1273,0.9915,0.9993,0.7099,1.0464,24,0.0000,5.1273,1.0000,mol_23
AHR_2,5.0994,0.9727,0.9986,0.7212,1.0267,24,0.0000,5.0994,1.0000,mol_2
AAH_1,5.0879,0.9733,0.9983,0.7186,1.0175,24,0.0000,5.0879,1.0000,mol_23
AHR_3,5.0869,0.9719,0.9985,0.7213,1.0150,24,0.0000,5.0869,1.0000,mol_2
AHR_4,5.0719,0.9921,0.9995,0.7191,0.9810,24,0.0000,5.0719,1.0000,mol_2
HRR_1,5.0609,0.9935,0.9861,0.6806,1.0204,24,0.0000,5.0609,1.0000,mol_2
AAH_2,5.0413,0.9887,0.9972,0.7090,0.9661,24,0.0000,5.0413,1.0000,mol_2
AAH_3,5.0334,0.9722,0.9987,0.7212,0.9610,24,0.0000,5.0334,1.0000,mol_2
AHR_5,5.0267,0.9911,0.8613,0.7013,1.0928,24,0.0000,5.0267,1.0000,mol_2
ARR_1,4.9972,0.9933,0.9992,0.7212,0.9032,24,0.0000,4.9972,1.0000,mol_2
