UniprotID Prot_A,UniprotID Prot_B,String Score,Prot_A,Prot_B
A0A0U1RRL7,A8K2U0,0.968,MMP2,A2M
A0A0U1RRL7,O00425,0.945,MMP2,IGF2
A0A0U1RRL7,P03956,0.922,MMP2,MMP1
A0A0U1RRL7,P05019,0.96,MMP2,IGF1
A0A0U1RRL7,P08254,0.923,MMP2,MMP3
A0A0U1RRL7,P09237,0.91,MMP2,MMP7
A0A0U1RRL7,P09238,0.911,MMP2,MMP10
A0A0U1RRL7,P14780,0.908,MMP2,MMP9
A0A0U1RRL7,P16112,0.972,MMP2,ACAN
A0A0U1RRL7,P17936,0.966,MMP2,IGFBP3
A0A0U1RRL7,P39060,0.985,MMP2,COL18A1
A0A0U1RRL7,P40763,0.979,MMP2,STAT3
A0A0U1RRL7,P45452,0.911,MMP2,MMP13
A0A0U1RRL7,P50281,0.969,MMP2,MMP14
A0A0U1RRL7,Q02763,0.95,MMP2,TEK
A0A0U1RRL7,Q13751,0.923,MMP2,LAMB3
A0A0U1RRL7,Q13753,0.925,MMP2,LAMC2
A0A0U1RRL7,Q15389,0.949,MMP2,ANGPT1
A0A0U1RRL7,Q16787,0.917,MMP2,LAMA3
A0A0U1RRL7,Q96GW7,0.946,MMP2,BCAN
A0A1B0GTR4,C9JRZ8,0.957,SPR,AKR1B1
A0A1B0GTR4,O14832,0.98,SPR,PAH
A0A1B0GTR4,P00374,0.977,SPR,DHFR
A0A1B0GUI7,P63208,0.771,BRD3,TCEB1
A0A1B0GUI7,Q9NPF5,0.93,BRD3,DMAP1
A0A1B0GVZ6,Q92769,0.993,MBD3,HDAC2
A0A2Z4LIS9,O14920,0.979,FOXO3,IKBKB
A0A2Z4LIS9,P31749,0.999,FOXO3,AKT1
A0JLT2,O14633,0.917,MED1,LEP
A0JLT2,O15379,0.924,MED1,HDAC3
A0JLT2,O60423,0.836,MED1,FOS
A0JLT2,O60427,0.902,MED1,FADS1
A0JLT2,O75608,0.919,MED1,LPL
A0JLT2,O75674,0.853,MED1,SRC
A0JLT2,O95477,0.919,MED1,ABCA1
A0JLT2,P03372,0.975,MED1,ESR1
A0JLT2,P08047,0.922,MED1,SP1
A0JLT2,P10826,0.972,MED1,RARB
A0JLT2,P10828,0.958,MED1,THRB
A0JLT2,P11310,0.901,MED1,ACADM
A0JLT2,P11473,0.988,MED1,VDR
A0JLT2,P13631,0.931,MED1,RARG
A0JLT2,P17676,0.941,MED1,CEBPB
A0JLT2,P19793,0.989,MED1,RXRA
A0JLT2,P22736,0.94,MED1,NR4A1
A0JLT2,P28702,0.967,MED1,RXRB
A0JLT2,P35222,0.917,MED1,CTNNB1
A0JLT2,P48443,0.968,MED1,RXRG
A0JLT2,P48552,0.957,MED1,NRIP1
A0JLT2,P49715,0.932,MED1,CEBPA
A0JLT2,P54868,0.904,MED1,HMGCS2
A0JLT2,Q03181,0.933,MED1,PPARD
A0JLT2,Q07869,0.966,MED1,PPARA
A0JLT2,Q13133,0.962,MED1,NR1H3
A0JLT2,Q15759,0.607,MED1,MAPK11
A0JLT2,Q15788,0.966,MED1,NCOA1
A0JLT2,Q6Q788,0.9,MED1,APOA5
A0JLT2,Q92731,0.967,MED1,ESR2
A0JLT2,Q9BY76,0.906,MED1,ANGPTL4
A1A5B4,A6ND01,0.991,TP53,JUN
A1A5B4,O60271,0.995,TP53,MAPK8
A1A5B4,O60423,0.969,TP53,FOS
A1A5B4,O95757,0.881,TP53,HSPA4
A1A5B4,P07900,0.99,TP53,HSP90AA1
A1A5B4,P08238,0.853,TP53,HSP90AB1
A1A5B4,P0DMV8,0.978,TP53,HSPA1A
A1A5B4,P11142,0.733,TP53,HSPA8
A1A5B4,P16220,0.905,TP53,CREB1
A1A5B4,P23560,0.95,TP53,BDNF
A1A5B4,P31749,0.994,TP53,AKT1
A1A5B4,P49841,0.982,TP53,GSK3B
A1A5B4,P51532,0.89,TP53,SMARCA4
A1A5B4,Q15759,0.958,TP53,MAPK11
A1A5B4,Q8IW41,0.99,TP53,MAPKAPK5
A1A5B4,Q8TB73,0.809,TP53,NDN
A1A5B4,Q92769,0.986,TP53,HDAC2
A1A5B4,Q96GM5,0.73,TP53,SMARCD1
A2A368,P61586,0.953,MAG,RHOA
A4D0S4,Q496J9,0.647,LAMB4,SV2C
A4D0S4,Q7L1I2,0.784,LAMB4,SV2B
A5D8V6,P19793,0.524,PML,RXRA
A5D8V6,P31749,0.929,PML,AKT1
A5D8V6,Q05516,0.679,PML,ZBTB16
A5D8V6,Q9Y618,0.583,PML,NCOR2
A5PLN7,P11215,0.908,MST1,ITGAM
A5PLN7,P31749,0.958,MST1,AKT1
A6H8M9,O95684,0.979,CDH2,FGFR1
A6H8M9,P27986,0.947,CDH2,PIK3R1
A6H8M9,P35222,0.994,CDH2,CTNNB1
A6H8M9,P42262,0.962,CDH2,GRIA2
A6ND01,O00220,0.986,JUN,TNF
A6ND01,O60271,0.999,JUN,MAPK8
A6ND01,O75592,0.992,JUN,MYC
A6ND01,P16220,0.993,JUN,CREB1
A6ND01,P51532,0.954,JUN,SMARCA4
A6ND01,Q04206,0.98,JUN,RELA
A6ND01,Q13418,0.937,JUN,ILK
A6ND01,Q15788,0.909,JUN,NCOA1
A6ND01,Q92769,0.958,JUN,HDAC2
A6ND01,Q96GM5,0.952,JUN,SMARCD1
A6ND01,Q9Y6Q9,0.903,JUN,NCOA3
A6NDL7,O14603,0.966,MET,PTPN1
A6NDL7,O43157,0.958,MET,PLXNB1
A6NDL7,O75791,0.975,MET,GRB2
A6NDL7,P01111,0.958,MET,NRAS
A6NDL7,P01111,0.974,MET,HRAS
A6NDL7,P29353,0.971,MET,SHC1
A6NDL7,P35222,0.976,MET,CTNNB1
A6NDL7,Q06124,0.971,MET,PTPN11
A6NDL7,Q12913,0.959,MET,PTPRJ
A6NDL7,Q96B97,0.975,MET,SH3KBP1
A6NFH5,O60427,0.924,FABP1,FADS1
A6NFH5,O75608,0.945,FABP1,LPL
A6NFH5,P11310,0.943,FABP1,ACADM
A6NFH5,P48552,0.902,FABP1,NRIP1
A6NFH5,P54868,0.96,FABP1,HMGCS2
A6NFH5,Q07869,0.988,FABP1,PPARA
A6NFH5,Q15788,0.912,FABP1,NCOA1
A6NFH5,Q6Q788,0.952,FABP1,APOA5
A6NHQ4,O14543,0.963,EPO,SOCS3
A6NHQ4,O60674,0.988,EPO,JAK2
A6NHQ4,O75791,0.932,EPO,GRB2
A6NHQ4,P10721,0.969,EPO,KIT
A6NHQ4,P15509,0.706,EPO,CSF2RA
A6NHQ4,P22681,0.921,EPO,CBL
A6NHQ4,P23458,0.811,EPO,JAK1
A6NHQ4,P26441,0.886,EPO,CNTF
A6NHQ4,P42224,0.941,EPO,STAT1
A6NHQ4,P42229,0.976,EPO,STAT5A
A6NHQ4,P51692,0.974,EPO,STAT5B
A6NHQ4,P52333,0.799,EPO,JAK3
A6NHQ4,Q99062,0.768,EPO,CSF3R
A6NHQ4,Q9UQQ2,0.94,EPO,SH2B3
A6NHX0,A8MX76,0.999,CAST,CAPN1
A6NHX0,O14713,0.905,CAST,ITGB1
A6NHX0,Q00535,0.949,CAST,CDK5
A6NHX0,Q96L46,0.98,CAST,CAPNS2
A6NIR3,A6NMY6,0.902,AGA,ANXA2
A6NIR3,O00231,0.9,AGA,PSMD1
A6NIR3,P42685,0.909,AGA,FRK
A6NIR3,P55072,0.9,AGA,VCP
A6NIR3,P61160,0.9,AGA,ACTR2
A6NIR3,Q14204,0.912,AGA,DYNC1H1
A6NIR3,Q9UHL4,0.912,AGA,DPP7
A6NJI9,P42685,0.914,LRRC7,FRK
A6NJI9,Q92608,0.901,LRRC7,DOCK2
A6NMK8,O14492,0.926,INS,SH2B2
A6NMK8,P01111,0.966,INS,HRAS
A6NMK8,P27986,0.955,INS,PIK3R1
A6NMK8,P29353,0.982,INS,SHC1
A6NMK8,Q13322,0.972,INS,GRB10
A6NMK8,Q9NY47,0.903,INS,CACNA2D2
A6NMY6,O60942,0.911,ANXA2,CAP1
A6NMY6,P10619,0.905,ANXA2,CTSA
A6NMY6,P42685,0.908,ANXA2,FRK
A6NMY6,P55072,0.931,ANXA2,VCP
A6NMY6,P61160,0.928,ANXA2,ACTR2
A6NMY6,Q05655,0.92,ANXA2,PRKCD
A6NMY6,Q14204,0.904,ANXA2,DYNC1H1
A6NMY6,Q9UHL4,0.901,ANXA2,DPP7
A7KAX9,P01138,0.925,ARHGAP32,NGF
A7KAX9,P04629,0.957,ARHGAP32,NTRK1
A8K0R7,P48449,0.924,C14orf1,LSS
A8K0R7,Q99720,0.901,C14orf1,SIGMAR1
A8K0Z3,P15498,0.981,WAS,VAV1
A8K2U0,O00425,0.924,A2M,IGF2
A8K2U0,P14780,0.932,A2M,MMP9
A8MTZ0,P32745,0.942,BBIP1,SSTR3
A8MUP2,O75095,0.951,CSK,EGF
A8MUP2,O75674,0.956,CSK,SRC
A8MUP2,P00533,0.978,CSK,EGFR
A8MUP2,P01111,0.941,CSK,HRAS
A8MUP2,P06241,0.954,CSK,FYN
A8MUP2,P07947,0.924,CSK,YES1
A8MUP2,P08631,0.946,CSK,HCK
A8MUP2,P09769,0.943,CSK,FGR
A8MUP2,P20936,0.951,CSK,RASA1
A8MUP2,P22681,0.713,CSK,CBL
A8MUP2,P49023,0.978,CSK,PXN
A8MUP2,P49407,0.95,CSK,ARRB1
A8MUP2,P51451,0.924,CSK,BLK
A8MUP2,Q05397,0.95,CSK,PTK2
A8MUU1,P19793,0.929,FABP5,RXRA
A8MUU1,Q03181,0.948,FABP5,PPARD
A8MYU2,Q9H2S1,0.903,KCNU1,KCNN2
A8MYU2,Q9UGI6,0.887,KCNU1,KCNN3
B1AH88,P07108,0.825,TSPO,DBI
B1AH88,P25705,0.854,TSPO,ATP5A1
B1AH88,Q9Y277,0.952,TSPO,VDAC3
B2RPK0,P05107,0.923,HMGB1,ITGB2
B2RPK0,P0DJI8,0.906,HMGB1,SAA1
B2RPK0,P11215,0.946,HMGB1,ITGAM
B2RPK0,P47755,0.902,HMGB1,CAPZA2
B2RPK0,P80511,0.955,HMGB1,S100A12
B2RPK0,Q00653,0.905,HMGB1,NFKB2
B2RPK0,Q04206,0.951,HMGB1,RELA
B2RPK0,Q15109,0.996,HMGB1,AGER
B9A064,P16885,0.907,IGLL5,PLCG2
C9JRZ8,O14832,0.92,AKR1B1,PAH
C9JRZ8,O60218,0.908,AKR1B1,AKR1B10
C9JRZ8,P00374,0.951,AKR1B1,DHFR
C9JRZ8,Q86XF0,0.91,AKR1B1,DHFRL1
D3DTV9,P13631,0.919,HOXB1,RARG
D3DTV9,P19793,0.911,HOXB1,RXRA
E9PB15,E9PB15,0.973,PTGES,PTGES3
E9PB15,O60760,0.963,PTGES,PTGDS
E9PB15,P23219,0.97,PTGES,PTGS1
E9PB15,P24557,0.966,PTGES,TBXAS1
E9PB15,P35354,0.984,PTGES,PTGS2
E9PB15,Q9H7Z7,0.978,PTGES,PTGES2
G2XKQ0,P11388,0.955,SUMO1,TOP2A
G2XKQ0,P19793,0.922,SUMO1,RXRA
G2XKQ0,Q02880,0.947,SUMO1,TOP2B
I3L0S3,O95256,0.966,PYCARD,IL18
I3L0S3,P01584,0.972,PYCARD,IL1B
I3L0S3,P29466,0.997,PYCARD,CASP1
I3L0S3,Q96P20,0.996,PYCARD,NLRP3
O00161,O14920,0.982,SNAP23,IKBKB
O00161,O15111,0.935,SNAP23,CHUK
O00161,Q9Y6K9,0.911,SNAP23,IKBKG
O00175,P10145,0.98,CCL2,CXCL8
O00175,P22301,0.995,CCL2,IL10
O00175,P41597,0.997,CCL2,CCR2
O00175,Q8NHW4,0.724,CCL2,CCL4L1
O00198,A8MX76,0.885,BID,CAPN1
O00220,O14920,0.999,TNF,IKBKB
O00220,P19793,0.918,TNF,RXRA
O00220,P21580,0.987,TNF,TNFAIP3
O00220,P22301,0.997,TNF,IL10
O00220,P49715,0.941,TNF,CEBPA
O00220,P52564,0.94,TNF,MAP2K6
O00220,Q13490,0.996,TNF,BIRC2
O00220,Q99558,0.925,TNF,MAP3K14
O00220,Q9Y4K3,0.972,TNF,TRAF6
O00220,Q9Y6K9,0.999,TNF,IKBKG
O00222,O00230,0.9,GRM8,CORT
O00222,O60262,0.907,GRM8,GNG7
O00222,P01185,0.625,GRM8,AVP
O00222,P01189,0.917,GRM8,POMC
O00222,P01213,0.929,GRM8,PDYN
O00222,P01298,0.9,GRM8,PPY
O00222,P01303,0.956,GRM8,NPY
O00222,P08172,0.954,GRM8,CHRM2
O00222,P14416,0.94,GRM8,DRD2
O00222,P21554,0.933,GRM8,CNR1
O00222,P28221,0.919,GRM8,HTR1D
O00222,P28222,0.928,GRM8,HTR1B
O00222,P30542,0.932,GRM8,ADORA1
O00222,Q14416,0.91,GRM8,GRM2
O00222,Q14831,0.904,GRM8,GRM7
O00222,Q14832,0.911,GRM8,GRM3
O00222,Q7RTX0,0.905,GRM8,TAS1R3
O00222,Q9UBS5,0.927,GRM8,GABBR1
O00230,P01189,0.983,CORT,POMC
O00230,P01213,0.933,CORT,PDYN
O00230,P01298,0.903,CORT,PPY
O00230,P01303,0.95,CORT,NPY
O00230,P32745,0.968,CORT,SSTR3
O00230,P59533,0.9,CORT,TAS2R38
O00230,P59542,0.9,CORT,TAS2R1
O00230,P62873,0.9,CORT,GNB1
O00230,Q14416,0.915,CORT,GRM2
O00230,Q14833,0.901,CORT,GRM4
O00230,Q15761,0.91,CORT,NPY5R
O00230,Q8TDU9,0.906,CORT,RLN3
O00230,Q9Y2T6,0.9,CORT,GPR55
O00231,A6NMY6,0.902,PSMD1,ANXA2
O00231,O60942,0.915,PSMD1,CAP1
O00231,P10619,0.9,PSMD1,CTSA
O00231,P42685,0.909,PSMD1,FRK
O00231,P55072,0.986,PSMD1,VCP
O00231,P60484,0.907,PSMD1,PTEN
O00231,P61160,0.907,PSMD1,ACTR2
O00231,Q05655,0.903,PSMD1,PRKCD
O00231,Q14204,0.931,PSMD1,DYNC1H1
O00231,Q9UHL4,0.9,PSMD1,DPP7
O00253,O75056,0.947,AGRP,SDC3
O00253,P01189,0.993,AGRP,POMC
O00253,P32245,0.995,AGRP,MC4R
O00254,O43194,0.9,F2RL2,GPR39
O00254,O60262,0.9,F2RL2,GNG7
O00254,P05305,0.9,F2RL2,EDN1
O00254,P06307,0.9,F2RL2,CCK
O00254,P0C0P6,0.903,F2RL2,NPS
O00254,P20366,0.9,F2RL2,TAC1
O00254,P20382,0.9,F2RL2,PMCH
O00254,P20396,0.9,F2RL2,TRH
O00254,P25100,0.9,F2RL2,ADRA1D
O00254,P30556,0.9,F2RL2,AGTR1
O00254,P30559,0.9,F2RL2,OXTR
O00254,P41594,0.9,F2RL2,GRM5
O00254,P43088,0.924,F2RL2,PTGFR
O00254,P49407,0.9,F2RL2,ARRB1
O00254,P62879,0.9,F2RL2,GNB2
O00254,Q13255,0.9,F2RL2,GRM1
O00264,O75674,0.972,PGR,SRC
O00264,P03372,0.964,PGR,ESR1
O00264,P07900,0.985,PGR,HSP90AA1
O00264,P08238,0.946,PGR,HSP90AB1
O00264,P0DMV8,0.95,PGR,HSPA1A
O00264,P23771,0.957,PGR,GATA3
O00264,P31948,0.946,PGR,STIP1
O00264,P48552,0.956,PGR,NRIP1
O00264,P54652,0.933,PGR,HSPA2
O00264,Q02790,0.963,PGR,FKBP5
O00264,Q15788,0.954,PGR,NCOA1
O00264,Q9Y618,0.947,PGR,NCOR2
O00264,Q9Y6Q9,0.961,PGR,NCOA3
O00305,P13591,0.914,CACNB4,NCAM1
O00330,P19793,0.9,PDHX,RXRA
O00330,Q03181,0.909,PDHX,PPARD
O00398,O00398,0.911,P2RY10,P2RY1
O00398,O14626,0.902,P2RY10,GPR17
O00398,P01042,0.9,P2RY10,KNG1
O00398,P04083,0.902,P2RY10,ANXA1
O00398,P05067,0.9,P2RY10,APP
O00398,P05305,0.915,P2RY1,EDN1
O00398,P06307,0.907,P2RY1,CCK
O00398,P0C0P6,0.925,P2RY1,NPS
O00398,P11229,0.91,P2RY1,CHRM1
O00398,P20309,0.907,P2RY10,CHRM3
O00398,P20366,0.926,P2RY1,TAC1
O00398,P20366,0.9,P2RY10,TAC1
O00398,P20382,0.9,P2RY10,PMCH
O00398,P21731,0.943,P2RY1,TBXA2R
O00398,P21731,0.923,P2RY10,TBXA2R
O00398,P25090,0.906,P2RY10,FPR2
O00398,P25098,0.911,P2RY1,ADRBK1
O00398,P25100,0.915,P2RY1,ADRA1D
O00398,P25100,0.93,P2RY1,ADRA1A
O00398,P25100,0.905,P2RY10,ADRA1D
O00398,P25100,0.902,P2RY10,ADRA1A
O00398,P28223,0.93,P2RY1,HTR2A
O00398,P30550,0.907,P2RY10,GRPR
O00398,P34947,0.904,P2RY1,GRK5
O00398,P34947,0.9,P2RY10,GRK5
O00398,P35367,0.91,P2RY10,HRH1
O00398,P35368,0.928,P2RY1,ADRA1B
O00398,P35368,0.902,P2RY10,ADRA1B
O00398,P41231,0.914,P2RY1,P2RY2
O00398,P41231,0.911,P2RY10,P2RY2
O00398,P41594,0.939,P2RY1,GRM5
O00398,P43088,0.905,P2RY10,PTGFR
O00398,Q13255,0.929,P2RY1,GRM1
O00398,Q15077,0.915,P2RY1,P2RY6
O00398,Q15077,0.915,P2RY10,P2RY6
O00398,Q15722,0.923,P2RY1,LTB4R
O00398,Q15722,0.91,P2RY10,LTB4R
O00398,Q92633,0.921,P2RY1,LPAR1
O00398,Q92633,0.96,P2RY10,LPAR1
O00398,Q96G91,0.918,P2RY1,P2RY11
O00398,Q9NPC1,0.914,P2RY1,LTB4R2
O00398,Q9NQ66,0.919,P2RY1,PLCB1
O00398,Q9UBY5,0.915,P2RY1,LPAR3
O00398,Q9Y271,0.916,P2RY10,CYSLTR1
O00401,A8K0Z3,0.906,WASL,WAS
O00401,O75095,0.944,WASL,EGF
O00401,O75674,0.988,WASL,SRC
O00401,O75962,0.903,WASL,TRIO
O00401,P06241,0.972,WASL,FYN
O00401,P46108,0.752,WASL,CRK
O00401,P60763,0.893,WASL,RAC3
O00401,P63000,0.99,WASL,RAC1
O00401,Q03135,0.921,WASL,CAV1
O00401,Q14185,0.954,WASL,DOCK1
O00401,Q14247,0.994,WASL,CTTN
O00401,Q6UXY1,0.976,WASL,BAIAP2
O00408,O76074,0.864,PDE2A,PDE5A
O00408,O95622,0.822,PDE2A,ADCY5
O00408,P16066,0.767,PDE2A,NPR1
O00408,P20594,0.783,PDE2A,NPR2
O00408,P22612,0.538,PDE2A,PRKACG
O00408,P22694,0.575,PDE2A,PRKACB
O00408,Q96PN6,0.84,PDE2A,ADCY10
O00408,Q9BY32,0.69,PDE2A,ITPA
O00429,P04629,0.914,DNM1,NTRK1
O00429,P14867,0.932,DNM1,GABRA1
O00429,P47869,0.913,DNM1,GABRA2
O00459,O14713,0.643,PIK3R2,ITGB1
O00459,O75791,0.891,PIK3R2,GRB2
O00459,P01111,0.885,PIK3R2,HRAS
O00459,P01116,0.88,PIK3R2,KRAS
O00459,P27986,0.983,PIK3R2,PIK3R1
O00459,P35968,0.926,PIK3R2,KDR
O00459,Q06124,0.953,PIK3R2,PTPN11
O00459,Q15389,0.922,PIK3R2,ANGPT1
O00519,O75879,0.874,FAAH,GATB
O00519,P07814,0.722,FAAH,EPRS
O00548,Q96BI3,0.941,DLL1,APH1A
O00548,Q99466,0.782,DLL1,NOTCH4
O00548,Q9NZ42,0.935,DLL1,PSENEN
O00555,A6NMK8,0.853,CACNA1A,INS
O00555,O00305,0.991,CACNA1A,CACNB4
O00555,Q00975,0.835,CACNA1A,CACNA1B
O00555,Q02641,0.885,CACNA1A,CACNB1
O00555,Q15878,0.847,CACNA1A,CACNA1E
O00555,Q8IZS8,0.968,CACNA1A,CACNA2D3
O00555,Q9NY47,0.974,CACNA1A,CACNA2D2
O00585,O14625,0.954,CCL21,CXCL1
O00585,O15467,0.91,CCL21,CCL16
O00585,P02778,0.974,CCL21,CXCL10
O00585,P10145,0.957,CCL21,CXCL8
O00585,P13236,0.912,CCL21,CCL4
O00585,P13501,0.972,CCL21,CCL5
O00585,P19875,0.96,CCL21,CXCL2
O00585,P41597,0.964,CCL21,CCR2
O00585,P48061,0.983,CCL21,CXCL12
O00585,P78556,0.917,CCL21,CCL20
O00585,Q07325,0.977,CCL21,CXCL9
O00585,Q8NHW4,0.907,CCL21,CCL4L1
O00585,Q99731,0.959,CCL21,CCL19
O00591,A8MPY1,0.574,GABRP,GABRR3
O00591,Q99928,0.708,GABRP,GABRG3
O00591,Q9UN88,0.582,GABRP,GABRQ
O14490,P58400,0.953,DLGAP1,NRXN1
O14490,P78352,0.999,DLGAP1,DLG4
O14490,Q14168,0.993,DLGAP1,DLG2
O14490,Q86YM7,0.978,DLGAP1,HOMER1
O14490,Q9P1A6,0.989,DLGAP1,DLGAP2
O14497,O96019,0.993,ARID1A,ACTL6A
O14497,P11388,0.481,ARID1A,TOP2A
O14497,P11473,0.908,ARID1A,VDR
O14497,P19793,0.916,ARID1A,RXRA
O14497,P51532,0.999,ARID1A,SMARCA4
O14497,Q02880,0.909,ARID1A,TOP2B
O14497,Q969G3,0.997,ARID1A,SMARCE1
O14497,Q96GM5,0.995,ARID1A,SMARCD1
O14497,Q9UIG0,0.938,ARID1A,BAZ1B
O14519,P17181,0.993,CDK2,IFNAR1
O14519,P30281,0.999,CDK2,CCND3
O14543,O15243,0.99,SOCS3,LEPR
O14543,O60674,0.994,SOCS3,JAK2
O14543,O75354,0.992,SOCS3,IL6
O14543,P01563,0.919,SOCS3,IFNA2
O14543,P01568,0.919,SOCS3,IFNA21
O14543,P01571,0.919,SOCS3,IFNA17
O14543,P01574,0.939,SOCS3,IFNB1
O14543,P15260,0.945,SOCS3,IFNGR1
O14543,P23458,0.983,SOCS3,JAK1
O14543,P29597,0.967,SOCS3,TYK2
O14543,P32881,0.9,SOCS3,IFNA8
O14543,P42224,0.986,SOCS3,STAT1
O14543,P52333,0.977,SOCS3,JAK3
O14543,Q99062,0.798,SOCS3,CSF3R
O14603,A6NMK8,0.991,PTPN1,INS
O14603,O60674,0.993,PTPN1,JAK2
O14603,O75674,0.992,PTPN1,SRC
O14603,O75791,0.982,PTPN1,GRB2
O14603,P27986,0.927,PTPN1,PIK3R1
O14603,P29353,0.939,PTPN1,SHC1
O14603,P56945,0.966,PTPN1,BCAR1
O14603,Q14247,0.791,PTPN1,CTTN
O14603,Q9Y4H2,0.936,PTPN1,IRS2
O14610,O60262,0.904,GNG8,GNG7
O14610,O95467,0.928,GNG8,GNAS
O14610,P34969,0.912,GNG8,HTR7
O14610,P48546,0.913,GNG8,GIPR
O14610,P62879,0.999,GNG8,GNB2
O14610,Q13639,0.912,GNG8,HTR4
O14613,P05106,0.939,CDC42,ITGB3
O14613,P07947,0.953,CDC42,YES1
O14613,P52564,0.937,CDC42,MAP2K6
O14613,P56945,0.971,CDC42,BCAR1
O14613,P61586,0.939,CDC42,RHOA
O14613,Q16644,0.904,CDC42,MAPKAPK3
O14625,O15467,0.937,CXCL1,CCL16
O14625,P08246,0.942,CXCL1,ELANE
O14625,P13236,0.978,CXCL1,CCL4
O14625,P13501,0.986,CXCL1,CCL5
O14625,P19875,0.98,CXCL1,CXCL2
O14625,P22301,0.983,CXCL1,IL10
O14625,P48061,0.969,CXCL1,CXCL12
O14625,P54108,0.901,CXCL1,CRISP3
O14625,Q8NHW4,0.96,CXCL1,CCL4L1
O14626,P25090,0.9,GPR17,FPR2
O14626,Q9NPC1,0.921,GPR17,LTB4R2
O14626,Q9Y271,0.937,GPR17,CYSLTR1
O14633,O14543,0.989,LEP,SOCS3
O14633,O14603,0.98,LEP,PTPN1
O14633,O15243,0.998,LEP,LEPR
O14633,O60674,0.984,LEP,JAK2
O14633,P19793,0.923,LEP,RXRA
O14633,P26441,0.94,LEP,CNTF
O14633,P49715,0.971,LEP,CEBPA
O14633,P54619,0.928,LEP,PRKAG1
O14633,P54646,0.951,LEP,PRKAA2
O14633,Q13131,0.922,LEP,PRKAA1
O14633,Q15596,0.903,LEP,NCOA2
O14633,Q15788,0.916,LEP,NCOA1
O14633,Q9Y6Q9,0.915,LEP,NCOA3
O14641,O14640,0.965,DVL2,DVL1
O14641,O75581,0.984,DVL2,LRP6
O14641,O95996,0.967,DVL2,APC
O14641,P35222,0.987,DVL2,CTNNB1
O14641,P49840,0.93,DVL2,GSK3A
O14641,P49841,0.972,DVL2,GSK3B
O14641,Q15172,0.911,DVL2,PPP2R5A
O14672,P05067,0.988,ADAM10,APP
O14713,A8MX76,0.921,ITGB1,CAPN1
O14713,O14613,0.951,ITGB1,CDC42
O14713,O75369,0.942,ITGB1,FLNB
O14713,P05106,0.937,ITGB1,ITGB3
O14713,P05107,0.907,ITGB1,ITGB2
O14713,P15692,0.956,ITGB1,VEGFA
O14713,P27986,0.915,ITGB1,PIK3R1
O14713,P29353,0.983,ITGB1,SHC1
O14713,P49767,0.921,ITGB1,VEGFC
O14713,Q15389,0.927,ITGB1,ANGPT1
O14732,P29218,0.985,IMPA2,IMPA1
O14732,P49441,0.96,IMPA2,INPP1
O14732,P51178,0.752,IMPA2,PLCD1
O14732,Q13496,0.9,IMPA2,MTM1
O14732,Q9BW91,0.71,IMPA2,NUDT9
O14732,Q9NQ66,0.764,IMPA2,PLCB1
O14735,P29218,0.929,CDIPT,IMPA1
O14735,P51178,0.758,CDIPT,PLCD1
O14735,Q13496,0.903,CDIPT,MTM1
O14735,Q9NQ66,0.67,CDIPT,PLCB1
O14745,P01127,0.9,SLC9A3R1,PDGFB
O14745,P05305,0.906,SLC9A3R1,EDN1
O14745,P07550,0.956,SLC9A3R1,ADRB2
O14745,P32121,0.913,SLC9A3R1,ARRB2
O14745,P59768,0.9,SLC9A3R1,GNG2
O14745,P60484,0.991,SLC9A3R1,PTEN
O14746,P00519,0.969,TERT,ABL1
O14746,P35222,0.971,TERT,CTNNB1
O14764,A8MPY1,0.574,GABRD,GABRR3
O14764,O00591,0.566,GABRD,GABRP
O14764,P14867,0.816,GABRD,GABRA1
O14764,P18507,0.829,GABRD,GABRG2
O14764,P24046,0.577,GABRD,GABRR1
O14764,P28476,0.561,GABRD,GABRR2
O14764,P46459,0.653,GABRD,NSF
O14764,P47869,0.74,GABRD,GABRA2
O14764,Q15111,0.622,GABRD,PLCL1
O14764,Q99928,0.717,GABRD,GABRG3
O14764,Q9NQX3,0.796,GABRD,GPHN
O14764,Q9UN88,0.592,GABRD,GABRQ
O14775,O00222,0.908,GNB5,GRM8
O14775,O14610,0.954,GNB5,GNG8
O14775,O14908,0.9,GNB5,GIP
O14775,O15130,0.9,GNB5,NPFF
O14775,O15530,0.9,GNB5,PDPK1
O14775,O43612,0.9,GNB5,HCRT
O14775,O43614,0.915,GNB5,HCRTR2
O14775,O60262,0.999,GNB5,GNG7
O14775,O60503,0.924,GNB5,ADCY9
O14775,O95467,0.948,GNB5,GNAS
O14775,O95622,0.917,GNB5,ADCY5
O14775,O95665,0.919,GNB5,NTSR2
O14775,P01111,0.718,GNB5,HRAS
O14775,P01185,0.902,GNB5,AVP
O14775,P01189,0.902,GNB5,POMC
O14775,P01210,0.906,GNB5,PENK
O14775,P01213,0.905,GNB5,PDYN
O14775,P01303,0.902,GNB5,NPY
O14775,P04899,0.953,GNB5,GNAI2
O14775,P06307,0.905,GNB5,CCK
O14775,P07550,0.923,GNB5,ADRB2
O14775,P08172,0.945,GNB5,CHRM2
O14775,P08754,0.952,GNB5,GNAI3
O14775,P08908,0.918,GNB5,HTR1A
O14775,P08912,0.918,GNB5,CHRM5
O14775,P08913,0.918,GNB5,ADRA2A
O14775,P08949,0.901,GNB5,NMB
O14775,P0C0P6,0.9,GNB5,NPS
