HypoID,Survival,Site,Vector,Volume,Select,Matches,Inactive,Adjusted,BEDROC,RefLig
ADRRR_1,5.8504,0.9512,0.9433,0.6649,1.7229,37,0.0000,5.8504,1.0000,mol_2
ADRRR_2,5.8462,0.9519,0.9444,0.6690,1.7128,37,0.0000,5.8462,1.0000,mol_2
DRRR_1,5.5837,0.9732,0.9322,0.6670,1.4431,37,0.0000,5.5837,1.0000,mol_2
DRRR_2,5.5783,0.9729,0.9337,0.6705,1.4331,37,0.0000,5.5783,1.0000,mol_2
DRRR_3,5.5338,0.9782,0.9914,0.6840,1.3120,37,0.0000,5.5338,1.0000,mol_1
ARRR_1,5.4304,0.9594,0.9204,0.6587,1.3237,37,0.0000,5.4304,1.0000,mol_2
ADRR_1,5.3940,0.9514,0.9521,0.6694,1.2530,37,0.0000,5.3940,1.0000,mol_2
ADRR_2,5.3938,0.9516,0.9549,0.6656,1.2534,37,0.0000,5.3938,0.9993,mol_2
ADRR_3,5.3519,0.9749,0.9499,0.6601,1.1988,37,0.0000,5.3519,1.0000,mol_2
ADRR_4,5.3435,0.9768,0.9548,0.6645,1.1791,37,0.0000,5.3435,1.0000,mol_2
ADRR_5,5.3327,0.9782,0.9924,0.7118,1.1451,32,0.0000,5.3327,0.9028,mol_1
ADRR_6,5.3272,0.9657,0.9526,0.6606,1.1801,37,0.0000,5.3272,0.9895,mol_2
DRR_1,5.2323,0.9882,0.9443,0.6679,1.0638,37,0.0000,5.2323,0.9986,mol_2
DRR_2,5.2234,0.9826,0.9383,0.6709,1.0634,37,0.0000,5.2234,1.0000,mol_2
DRR_3,5.2028,0.9819,0.9894,0.6823,0.9810,37,0.0000,5.2028,1.0000,mol_1
DRR_4,5.2018,0.9816,0.9888,0.6839,0.9794,37,0.0000,5.2018,1.0000,mol_1
DRR_5,5.1941,0.9974,0.9998,0.6702,0.9585,37,0.0000,5.1941,1.0000,mol_1
DRR_6,5.1750,0.9925,0.9420,0.6656,1.0066,37,0.0000,5.1750,0.9827,mol_2
DRR_7,5.1680,0.9931,0.9563,0.6610,0.9895,37,0.0000,5.1680,1.0000,mol_2
RRR_1,5.1669,0.9917,0.9868,0.6846,0.9357,37,0.0000,5.1669,1.0000,mol_1
RRR_2,5.1460,0.9821,0.8962,0.6626,1.0370,37,0.0000,5.1460,1.0000,mol_2
DRR_8,5.1172,0.9872,0.9337,0.6190,1.0091,37,0.0000,5.1172,1.0000,mol_4
