DDHRRR_1	1.379122
ADDHRR_1	1.365216
ADDHRR_2	1.352146
DHRRR_1	1.346916
AADDHR_1	1.342256
ADHRR_1	1.338254
DDHRR_3	1.336378
DDRRR_1	1.331898
DDHRR_2	1.327856
DDHRR_1	1.324912
DRRR_1	1.31959
DHRRR_2	1.31714
ADHRR_3	1.31491
ADDHR_1	1.313294
ADRR_1	1.308232
ADHRR_2	1.30723
DHRR_2	1.307206
DHRR_4	1.303126
DRR_1	1.30048
DRR_2	1.299412
DRR_3	1.297874
RRR_1	1.296338
ADHR_1	1.29464
ARR_1	1.292972
HRRR_1	1.291888
AHRR_1	1.291484
DHRR_1	1.289894
DHR_2	1.27683
DHRR_3	1.275326
DHRR_5	1.270056
HRR_1	1.261044
DHR_1	1.258024
AHR_1	1.25532
HRR_2	1.251892
