HypoID,Survival,Site,Vector,Volume,Select,Matches,Inactive,Adjusted,BEDROC,RefLig
ADRRR_1,5.4450,0.7346,0.8923,0.7272,1.7484,22,0.0000,5.4450,0.9934,mol_1
AADRR_1,5.3507,0.7624,0.8697,0.7237,1.6525,22,0.0000,5.3507,0.9935,mol_1
DRRR_1,5.1394,0.7396,0.8596,0.7315,1.4663,22,0.0000,5.1394,0.9885,mol_15
ADRR_1,5.1164,0.9726,0.9972,0.6241,1.1801,22,0.0000,5.1164,0.9947,mol_17
AADR_1,5.0726,0.8467,0.9516,0.6766,1.2553,22,0.0000,5.0726,1.0000,mol_15
ADRR_2,5.0568,0.7603,0.8331,0.7312,1.3898,22,0.0000,5.0568,0.9834,mol_1
DRR_1,4.9810,0.9948,0.9533,0.6838,1.0066,22,0.0000,4.9810,0.9872,mol_1
ARR_1,4.8833,0.9896,0.9762,0.6405,0.9346,22,0.0000,4.8833,0.9914,mol_1
DRR_2,4.8510,0.8921,0.9314,0.6625,1.0226,22,0.0000,4.8510,1.0000,mol_15
DRR_3,4.8419,0.8278,0.9009,0.6943,1.0766,22,0.0000,4.8419,0.9026,mol_1
ADR_1,4.7955,0.9938,0.9431,0.6867,0.8295,22,0.0000,4.7955,0.9799,mol_2
ADR_2,4.7923,0.8515,0.9366,0.6703,0.9915,22,0.0000,4.7923,1.0000,mol_15
ADR_3,4.7847,0.9933,0.9475,0.6817,0.8198,22,0.0000,4.7847,0.9806,mol_2
AAR_1,4.7692,0.9864,0.9989,0.6260,0.8155,22,0.0000,4.7692,1.0000,mol_15
AAD_1,4.7599,0.8654,0.9432,0.6794,0.9294,22,0.0000,4.7599,1.0000,mol_15
ADR_4,4.7454,0.9015,0.8896,0.6072,1.0046,22,0.0000,4.7454,1.0000,mol_11
